# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-726.673,0.999946,0.00405097,9,511,0,739.208,-0.833564,-0.123967,1.16869,-0.671688,0.0106937,-0.823558,-0.537774,0.125182,-0.797862,0.397513,4.84152,6.51597,0.992167,0.998523,0.125,0.292589,0.408784,0.249633,0.30379,0.238497,0.259737,0.313501,0.240357,8
-725.769,0.999991,0.00433644,8,511,0,733.078,-1.00415,-0.540822,1.24539,-0.70745,-0.403142,-1.18651,0.0766884,0.608211,-0.255843,0.564478,4.88547,6.47707,0.992501,0.998464,0.125,0.212581,0.425274,0.197262,0.225881,0.157903,0.276705,0.340553,0.24075,8
-723.142,0.999998,0.00464323,9,511,0,729.551,-0.941626,-0.615821,1.35252,-0.590075,-0.427742,-0.969532,-0.343419,0.263274,0.164799,0.692243,4.92314,6.37908,0.992776,0.998306,0.125,0.202955,0.498661,0.205854,0.224832,0.166203,0.235168,0.318782,0.304164,8
-724.357,0.999483,0.00497099,8,255,0,728.187,-0.905805,-0.574617,0.566951,-0.568119,-0.166874,-0.710931,-0.316193,-0.00665339,0.353225,0.551271,4.41498,5.98523,0.98805,0.997491,0.125,0.227484,0.355887,0.228114,0.269375,0.214549,0.253485,0.287108,0.32936,8
-722.377,0.999744,0.00531188,8,255,0,728.642,-0.925841,-0.435471,0.907562,-1.06333,0.144075,-0.379264,-0.208326,-0.0813264,-0.052673,0.652927,4.49993,5.83969,0.989012,0.997099,0.125,0.229671,0.417446,0.165189,0.303271,0.236228,0.256954,0.273102,0.276832,8
-720.382,0.999651,0.00567724,8,255,0,726.357,-1.10155,-0.541955,1.35506,-0.421765,-0.201724,-0.451373,-0.378604,0.719135,-0.0651089,0.518039,4.85793,5.0465,0.992293,0.993609,0.125,0.200639,0.401414,0.210812,0.230401,0.208271,0.214556,0.325412,0.243188,8
-720.76,0.999981,0.00606186,8,255,0,724.615,-1.07588,0.651033,1.71896,-0.808159,-0.718659,-0.61526,-0.302017,0.037964,-0.613306,0.605273,4.90965,5.07083,0.992679,0.993762,0.125,0.335854,0.491142,0.172926,0.180811,0.190267,0.221201,0.258669,0.190449,8
-722.095,0.999998,0.00647331,8,255,0,724.418,-1.17473,-0.0808101,1.4423,-1.36377,-0.617774,-0.234426,0.000443426,0.529507,-0.224235,0.437881,4.82263,4.35204,0.992019,0.987283,0.125,0.229681,0.367451,0.145307,0.190735,0.217997,0.236037,0.280322,0.218759,8
-722.225,0.999949,0.00690677,8,255,0,725.945,-1.13362,0.0539952,1.42499,-1.42419,-0.887716,-0.318551,-0.128934,0.984071,-0.0692314,0.41138,4.74244,4.48956,0.991358,0.988899,0.125,0.247609,0.366467,0.151936,0.182604,0.220173,0.233857,0.325461,0.238287,8
-719.917,0.99967,0.00736115,8,255,0,726.278,-1.04329,-0.450502,1.68451,-1.1697,-1.18246,-0.470052,-0.420253,0.522092,-0.25799,0.447972,5.44579,5.13467,0.995704,0.994145,0.125,0.223549,0.428327,0.172604,0.171789,0.222032,0.225909,0.308016,0.238874,8
