# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-732.23,0.996929,0.0375211,6,63,0,735.938,-1.19021,-0.311123,0.663662,-1.5945,1.15941,-0.98632,1.26852,0.141939,6.45124,5.52824,0.998424,0.996043,0.166667,0.225418,0.250489,0.195206,0.26393,0.209126,0.266949,6
-730.16,0.97831,0.0388229,6,63,0,737.343,-1.23026,0.251526,-1.53214,0.126669,0.227453,-0.163675,1.29348,0.223763,3.5939,4.75287,0.973245,0.991447,0.166667,0.236137,0.171776,0.231135,0.235167,0.219791,0.280733,6
-737.369,0.997345,0.0383851,6,63,0,742.447,-1.36304,-0.857255,0.744813,0.454075,-0.481495,0.0888137,1.79291,0.253639,8.66225,5.46837,0.999827,0.9958,0.166667,0.170729,0.23611,0.22307,0.184649,0.207426,0.287351,6
-737.12,0.952951,0.0397167,6,63,0,741.371,-1.14645,-0.890806,0.700568,0.548127,-0.514216,0.0896943,1.68484,0.144808,8.37528,5.01604,0.99977,0.993413,0.166667,0.218327,0.260187,0.25596,0.227776,0.243523,0.288544,6
-729.376,0.995139,0.0369619,6,63,0,744.268,-1.39337,-0.15528,-0.488246,-1.64867,1.38095,0.845336,1.63846,0.229037,5.53876,5.22915,0.996084,0.99467,0.166667,0.193264,0.181651,0.14542,0.254058,0.231518,0.265396,6
-725.496,0.999166,0.0380239,6,63,0,730.577,-1.20441,-0.694024,0.0280358,0.227792,-0.599485,-0.532847,1.07859,0.333144,4.87049,4.99373,0.992389,0.993265,0.166667,0.192224,0.232353,0.244434,0.197162,0.2007,0.300465,6
-726.739,0.983472,0.039465,6,63,0,728.21,-1.34157,-0.214892,-0.699537,-0.67613,0.366735,0.20196,0.996728,0.447295,6.57302,5.22313,0.998604,0.994638,0.166667,0.191904,0.160506,0.161922,0.235497,0.222487,0.289927,6
-727.693,0.989844,0.0394659,6,63,0,729.675,-1.26072,-0.685802,-0.693867,-1.12527,0.271715,0.136173,0.942212,0.210291,6.23762,5.28333,0.998049,0.99495,0.166667,0.197034,0.196766,0.182821,0.23084,0.225818,0.256817,6
-730.009,0.999669,0.0400451,5,63,0,737.311,-1.2865,-1.29518,-0.380369,-1.77518,1.09744,-0.419848,1.59207,0.30049,4.79528,4.59436,0.991799,0.989992,0.166667,0.157667,0.19769,0.139443,0.277534,0.195815,0.308297,6
-728.723,0.961371,0.0415447,6,63,0,732.565,-1.08417,-0.367345,-0.445293,-0.829609,0.303184,0.0325788,1.26024,0.153934,4.44861,5.86697,0.98844,0.997177,0.166667,0.242189,0.239994,0.22937,0.261633,0.253666,0.291074,6
