# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-719.747,0.969308,0.0296456,6,127,0,725.345,-1.15294,-0.32244,-2.69501,0.244178,-0.074147,0.0343703,0.0506002,-0.755537,0.131593,1.33328,-0.395059,0.867496,5.21839,4.52628,0.994613,0.989295,0.1,0.192686,0.0295739,0.280676,0.228419,0.245433,0.24805,0.140836,0.261385,0.500921,0.183076,10
-720.145,0.997852,0.0287301,6,63,0,724.211,-1.05729,-0.151927,-1.89891,0.248266,-0.00828443,-0.0967536,-0.0389544,-0.369204,0.0231645,0.0504543,-0.552319,0.983846,5.35652,5.67723,0.995305,0.996589,0.1,0.230275,0.0509061,0.307245,0.256272,0.240037,0.250563,0.194579,0.262213,0.26744,0.167886,10
-721.003,0.971541,0.0299203,6,63,0,725.31,-1.22335,-0.322567,-1.91293,0.00735093,-0.114159,-0.156513,0.319442,-0.559386,-0.330418,1.50281,0.17964,0.722805,5.62677,4.46887,0.996413,0.98867,0.1,0.189003,0.0687521,0.228283,0.21318,0.20809,0.270428,0.164149,0.188135,0.465776,0.250959,10
-718.25,0.999392,0.029159,6,63,0,723.487,-0.977354,-0.578117,-2.31082,0.14513,-0.0179268,-0.316832,-0.150635,-0.492013,-0.343131,0.705013,-0.0726054,0.958072,5.79544,5.00189,0.996968,0.99332,0.1,0.177814,0.0394949,0.301891,0.270018,0.217397,0.245701,0.190196,0.213141,0.425093,0.259818,10
-720.016,0.997383,0.0304502,6,127,0,723.735,-1.29191,0.0305807,-2.5616,0.308517,-0.0761554,0.286606,0.251153,-0.00890845,0.405063,0.816631,0.144321,0.974832,4.81028,5.64856,0.99192,0.99649,0.1,0.220612,0.0221171,0.270683,0.203242,0.266487,0.259786,0.214064,0.289658,0.37852,0.240265,10
-720.296,0.989397,0.0316164,6,63,0,726.463,-1.27059,-0.317964,-1.56513,0.430612,0.367528,0.0719704,0.180511,-0.475517,-0.133959,0.763734,-0.00822761,1.36599,5.19568,5.87564,0.99449,0.997201,0.1,0.153824,0.0320297,0.335732,0.316794,0.236444,0.264247,0.127846,0.189452,0.443411,0.21724,10
-720.12,1,0.0321705,6,63,0,724.726,-1.10027,-0.581,-2.28402,0.137502,0.0218904,-0.238878,0.0390517,-0.955443,-0.0945561,1.36929,-0.337523,0.996161,5.60982,4.5874,0.996352,0.989923,0.1,0.157222,0.0330691,0.276218,0.253796,0.207801,0.257047,0.113846,0.232461,0.565561,0.192088,10
-722.149,0.943251,0.0335714,6,63,0,726.104,-1.04613,-0.0665958,-2.43015,0.425222,-0.109238,-0.488164,0.2118,-0.240194,-0.577759,0.490577,-0.903718,0.596843,5.35837,5.2272,0.995313,0.99466,0.1,0.252396,0.0761008,0.311667,0.247624,0.207924,0.285016,0.233351,0.199255,0.320097,0.170017,10
-721.116,0.998275,0.030539,6,63,0,728.052,-1.0652,-0.452632,-2.78856,-0.100255,-0.0957718,-0.100023,0.00616377,-1.10906,-0.282104,1.15043,-0.489822,1.11274,4.62742,4.70037,0.990315,0.99099,0.1,0.172378,0.0152448,0.235635,0.236535,0.235681,0.257626,0.0911808,0.201152,0.553527,0.166554,10
-720.904,0.987602,0.0317183,6,63,0,725.911,-0.989635,-0.790254,-2.01449,0.521837,-0.385778,-0.497019,0.0204039,-0.915351,-0.347578,1.02782,-0.0817187,0.692456,5.67879,5.53674,0.996594,0.996076,0.1,0.176994,0.084356,0.347899,0.221531,0.208532,0.273784,0.164726,0.226126,0.430965,0.259951,10
-720.695,0.988994,0.0320967,5,63,0,725.333,-1.1231,-0.237268,-1.61095,0.454198,-0.384663,-0.149367,0.240263,0.0134843,-0.28956,1.26835,-0.117026,0.534875,4.79557,5.41162,0.991801,0.995555,0.1,0.222699,0.120813,0.293145,0.209351,0.230944,0.270007,0.246775,0.217895,0.390624,0.23403,10
