# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-747.58,0.994071,0.0231876,7,127,0,752.994,-0.915805,-0.0476279,-0.890642,-0.116097,-0.994178,-0.58632,-0.409699,0.0520878,-0.00887075,0.949811,-1.24796,-1.16744,1.62253,0.309931,-0.246033,2.7703,1.39634,-0.341641,0.118688,0.213304,0.697657,0.770117,5.00589,4.09208,0.993346,0.98357,0.00168979,0.224587,0.208147,0.223218,0.206189,0.21398,0.217418,0.215652,0.213528,0,0,0,0,0.248376,0.153679,0.193494,0.212974,0,0,0.154698,0.173211,0.229702,0.221566,0.37161,0,6,8,6,9
-742.726,0.998915,0.024041,7,127,0,759.235,-1.81585,-0.63724,-0.563341,0.536821,0.634102,0.0352405,0.476062,-0.580094,-0.831825,0.837355,-0.0997329,-0.593413,0.982336,1.28187,-0.632727,1.90007,0.0583406,-1.00107,0.573602,0.284924,1.53951,0.0618958,5.74928,5.9341,0.996825,0.997359,0.00168979,0.155277,0.16085,0.262969,0.273714,0.211927,0.256394,0.225645,0.213708,0,0,0,0,0.246427,0.274819,0.132292,0.229711,0,0,0.221666,0.22627,0.21535,0.212803,0.230091,0,6,8,6,9
-743.384,0.998604,0.025292,7,127,0,760.686,-0.982192,-1.55485,-0.227751,-0.107974,-0.883248,0.0836484,0.947158,-1.2654,-0.648164,1.60755,1.12992,-1.39397,-0.181463,0.50311,-1.08285,1.82162,-0.531779,0.091147,0.18306,0.113243,0.258532,0.0248311,4.26497,5.62577,0.986142,0.996409,0.00168979,0.201096,0.242805,0.246844,0.221503,0.253399,0.284324,0.23986,0.252736,0,0,0,0,0.240202,0.205677,0.249319,0.293169,0,0,0.245665,0.249629,0.239556,0.242338,0.25269,0,6,8,6,9
-737.846,0.994833,0.0265816,7,127,0,755.175,-0.666871,-0.770287,-1.6831,-0.291452,-0.913311,-1.05331,-0.100099,0.195323,0.149778,0.538204,-0.892998,0.349302,1.09265,0.295176,1.26212,0.301884,0.591477,0.136744,0.468056,0.0677336,0.565765,0.0206096,5.41109,4.44,0.995553,0.988342,0.00168979,0.212251,0.149828,0.251802,0.20135,0.191088,0.268899,0.212557,0.21205,0,0,0,0,0.234564,0.177847,0.166656,0.254323,0,0,0.209085,0.212296,0.213298,0.213143,0.214465,0,6,8,6,9
-737.152,0.971368,0.0276282,7,127,0,743.48,-0.359112,-0.879039,-0.943523,-0.349389,-0.426284,-0.476075,-0.358362,0.696157,-0.417882,-0.91871,0.870067,-1.5263,-0.0714459,-0.504976,0.236758,-0.13399,-0.145093,0.00980894,1.25555,0.238713,0.784619,0.0691886,5.1191,5.82033,0.994054,0.997042,0.00168979,0.15157,0.141474,0.257414,0.239461,0.228301,0.255275,0.231153,0.187836,0,0,0,0,0.218554,0.208587,0.202311,0.217374,0,0,0.209365,0.210694,0.222874,0.210021,0.20442,0,6,8,6,9
-736.194,0.972416,0.0268482,7,127,0,745.903,-0.947734,0.110233,-1.2925,0.566811,-0.143695,-0.083754,1.14145,-0.358768,-0.72287,1.80231,-0.127368,1.96019,0.556469,-0.301647,0.697625,-0.0685259,1.073,0.611821,0.330811,0.783625,0.0944283,0.183994,5.03852,5.2814,0.993558,0.99494,0.00168979,0.228883,0.157724,0.256374,0.214511,0.217844,0.293885,0.25008,0.201192,0,0,0,0,0.232313,0.220786,0.221743,0.241932,0,0,0.217347,0.257446,0.208984,0.198274,0.280949,0,6,8,6,9
-739.544,0.997169,0.0261895,7,127,0,746.429,-1.11716,-0.142443,0.119607,-0.975325,1.31362,-0.067145,-0.114546,-0.0062755,0.0841897,1.42537,0.0422036,-0.558038,0.311927,-1.20467,1.2869,0.56061,1.14479,0.800359,0.0960044,0.631356,0.0706268,0.318801,4.60572,4.86242,0.990104,0.992328,0.00168979,0.252904,0.25766,0.238175,0.280057,0.254265,0.253408,0.25282,0.263693,0,0,0,0,0.247825,0.278985,0.259905,0.259266,0,0,0.244933,0.242152,0.248534,0.253951,0.34282,0,6,8,6,9
-738.966,0.957561,0.0274044,7,127,0,749.973,-1.22194,-0.215314,-0.632151,-0.541133,-0.750414,-0.904102,-0.144827,0.687318,0.0816186,1.57974,-0.738837,-0.691344,-0.700059,0.262097,0.657308,-1.30759,-1.45186,-1.16427,0.442962,0.324106,0.0475968,0.171822,5.63473,4.58034,0.996441,0.989853,0.00168979,0.236573,0.204989,0.211609,0.196617,0.186125,0.242232,0.227662,0.195163,0,0,0,0,0.214412,0.21275,0.211536,0.217583,0,0,0.184219,0.204551,0.228688,0.210927,0.256713,0,6,8,6,9
-749.046,0.999425,0.0256653,7,127,0,758.261,-0.63289,-0.690012,-0.179695,0.586122,1.04165,0.809491,0.560881,-0.821291,-1.15588,0.20708,0.783504,1.22372,-0.23207,-0.199457,1.50823,0.297978,0.730559,3.10252,0.0412553,0.495836,0.00577779,0.0612591,4.85129,4.8482,0.992242,0.992219,0.00168979,0.242708,0.246593,0.252499,0.256057,0.25424,0.252303,0.26399,0.233054,0,0,0,0,0.250808,0.251302,0.25105,0.25078,0,0,0.261354,0.258429,0.242558,0.238817,0.254302,0,6,8,6,9
-745.697,0.998214,0.0270149,6,127,0,762.476,-0.723712,-0.564804,-0.102907,-0.0552207,0.623653,1.63264,0.874348,-0.807527,-1.06182,-0.673468,0.716844,0.92242,0.96253,1.00091,-0.949305,0.0185129,1.21634,1.33373,0.102472,0.65878,0.0138505,0.0120262,5.92445,5.0571,0.997334,0.993676,0.00168979,0.202145,0.209878,0.210688,0.222475,0.240848,0.226945,0.232634,0.204101,0,0,0,0,0.219028,0.220637,0.223044,0.221233,0,0,0.223835,0.222258,0.218788,0.218267,0.219063,0,6,8,6,9
