# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-720.655,0.999757,0.0101459,8,255,0,723.561,-1.16275,-0.0640707,1.46881,-0.650581,-2.01129,-0.992995,-0.0279855,0.285168,-0.0812418,-0.691542,4.71214,5.15815,0.183207,0.60544,0.788559,-0.18753,1.51104,-0.406396,0.946357,-0.0287922,-0.329454,0.773765,-0.816924,-0.187038,-12.6676,-0.958134,-1.11509,-0.392694,-2.27129,-2.60566,0.378558,-1.04807,0.176517,-2.69317,-1.03883,0.714904
-722.076,0.997258,0.010751,7,127,0,726.614,-1.09874,-0.181305,1.38618,-0.181365,-2.36874,-0.598155,-0.151425,0.612515,-0.719378,-0.556703,4.40157,5.2658,1.01468,-0.330682,-0.302124,-0.225065,-0.352723,-1.06874,2.40821,-0.342646,0.540862,-0.553268,-0.0208009,0.108864,-2.48614,-1.35292,-0.276216,2.6155,-2.96057,-0.124361,-0.694813,1.85439,-2.05779,-0.10186,-1.80674,0.996034
-723.252,0.998018,0.0113054,7,127,0,726.511,-1.08684,-0.192828,1.04782,-0.650972,-2.67716,-0.466273,-0.252512,0.359127,-0.712295,-0.741663,4.50305,5.26605,-0.15153,-0.285157,-0.518636,1.07512,-0.610903,0.323779,0.885493,0.442056,-0.483447,-1.58786,-0.796085,0.377875,-12.0829,-0.95189,-2.8951,0.198121,-3.09792,1.30373,-1.7795,-0.0816079,-1.47857,-3.98725,-1.64965,1.13042
-722.073,0.99994,0.011901,7,127,0,726.358,-0.836531,-0.763766,0.984903,-0.257932,-2.26713,-0.729259,-0.481193,-0.0100605,-0.371462,-0.417585,5.00732,5.21511,-0.605387,0.106412,-0.557046,0.327002,-1.5484,0.971911,0.285997,0.495748,-0.636481,-1.59164,-1.01916,0.356824,12.0063,-3.54634,0.730564,5.38475,-2.80345,1.70253,1.94396,0.340867,0.809993,-2.08889,-0.0720445,0.466661
-725.311,0.987571,0.0125788,7,127,0,731.731,-0.751653,-0.0886979,1.23595,-2.18731,-2.22047,-1.44241,-0.845073,0.0328829,-0.911572,-0.945816,5.4388,4.99213,-1.84293,-0.557248,-0.151294,-0.737801,2.38667,0.107518,1.02682,0.978612,-0.221578,-0.617076,-0.16895,0.62265,25.465,2.42328,0.491636,-2.52572,-1.87087,0.11051,4.34264,1.06606,-0.28269,-8.95368,0.813126,-1.08837
-720.738,0.999992,0.0128631,7,127,0,728.084,-1.18786,-0.0931716,1.44735,-0.824271,-1.23795,-0.708457,-0.20321,0.530224,-0.491424,-0.43893,6.22589,4.86726,0.593273,0.617779,-0.16023,-2.54236,-1.74354,-1.00874,-0.981298,0.459851,-0.911454,-0.764308,0.0860882,-0.903143,-23.9625,-1.63664,0.509381,-2.27327,-1.28397,-2.35703,-8.42096,1.00926,-1.81104,3.42267,1.81287,-0.220333
-720.237,0.999296,0.0135732,7,127,0,723.562,-1.13216,0.04453,0.798205,-0.425246,-1.17542,-0.379957,-0.0676277,0.143135,-0.661147,-0.42136,6.13723,5.00939,1.64804,0.347576,0.295227,-0.261083,-0.490735,0.431415,-0.0507632,1.16557,-0.510099,-0.789049,0.825847,-0.552989,-7.94105,0.124177,-4.6766,0.784225,-1.10641,1.27085,1.44357,-1.66538,-2.36564,-5.16712,1.72518,-0.192625
-724.448,0.999511,0.0142826,7,127,0,728.355,-0.655292,-0.790736,0.540238,-1.673,-1.15817,-1.60238,-1.28432,-1.05207,-0.668312,-0.848921,4.20555,4.94325,0.61426,0.424614,-0.761483,0.597666,-1.2647,0.303593,-0.19638,-1.14998,0.765017,-0.473142,0.522344,1.4779,0.503247,0.024652,-1.68044,-0.717224,-0.0879972,-0.283508,-2.36428,-2.80843,0.72418,-5.06416,-2.44244,-0.762704
-721.085,0.999285,0.0150228,7,127,0,726.86,-0.475176,-0.678182,0.550492,-0.973717,-0.652315,-1.09935,-0.603424,-0.310187,-1.24764,0.00919625,4.83913,5.54087,-0.186286,-0.385702,-0.0878888,-0.775673,-0.242042,-0.884875,-1.40937,-1.72258,-0.0425487,-1.75496,-1.35471,-0.209136,12.9085,-1.96758,5.51987,-0.124448,1.95801,-3.16185,10.4827,1.14848,-5.36221,1.34841,-0.396198,1.89013
-722.809,0.987225,0.0157774,7,127,0,732.572,-0.797381,-0.58529,0.152472,-0.866159,-0.651262,-0.835675,-0.533508,-0.202153,-0.832319,-0.19677,4.55325,6.0643,-1.06048,0.735026,-1.50046,0.554003,-0.120861,1.40236,-0.00247379,0.58784,2.36116,-0.893602,-1.27602,2.2301,-24.9235,-3.51432,-8.06935,-0.921886,0.805284,-1.08716,-6.91194,-1.80859,-2.6626,4.84302,-1.67142,3.77515
