# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-732.219,0.999072,0.031057,7,127,0,743.542,-1.33436,-0.964083,-1.44693,-0.60048,-1.01735,0.387248,2.96145,-1.99447,5.16789,4.39413,-0.373653,-2.32451,-1.45159,0.611676,2.48029,2.21763,0.518154,-1.61449,-0.79052,0.227995,-15.5377,-1.16407,-1.99048,-0.424112,-1.62264,0.475162,2.11314,-1.85292,0.0428658,-3.71818
-731.655,0.998784,0.0325373,6,127,0,737.361,-1.32487,1.96458,-0.613569,0.351319,0.178925,-0.470703,1.46812,-1.46184,5.62463,5.83083,0.152649,1.07699,1.33529,0.486609,1.18262,-0.522021,-1.92577,1.19485,-0.189357,1.16811,-17.5705,3.88156,-1.45365,0.864235,-0.102295,-2.4737,-1.60334,0.0767255,0.904271,3.16518
-733.78,0.974786,0.0340334,6,63,0,737.968,-1.63894,-0.997191,0.954736,0.818271,0.784429,1.28635,2.12341,-1.00308,6.38833,4.42485,-1.34062,-1.60658,-0.432255,-0.845769,0.270192,0.248081,-0.616904,-1.25727,-0.998222,0.0515212,2.26573,-3.7722,2.7535,1.47968,0.15632,3.68668,2.09805,6.93363,2.0969,-4.10931
-731.249,0.964582,0.0334101,6,63,0,740.19,-1.2766,1.04655,0.556829,-0.139502,0.838963,0.951237,2.36829,-2.06775,4.47566,5.81413,-1.00192,2.00691,-1.54094,-1.14014,-0.273849,-2.33548,0.0909166,-0.631684,-1.74277,0.449728,2.22774,1.40446,1.35156,0.0871002,1.02068,1.53461,0.66715,-3.40944,-1.50939,2.80893
-727.328,0.997722,0.0319479,6,63,0,734.98,-1.33151,-0.128288,-0.202827,-0.400009,0.156236,0.715944,2.3263,-1.38684,4.90487,4.56125,-0.868978,1.26966,0.220546,0.158336,0.432666,0.629884,2.38301,1.9906,-0.904903,1.34893,14.523,-0.169159,-0.00537776,-0.115196,-0.0132544,2.36432,4.36752,5.00328,-0.255377,-3.7735
-724.968,0.999983,0.0332818,6,63,0,728.808,-1.29535,0.454525,-0.433328,-0.393843,0.483292,-0.0452866,0.883616,-0.915571,4.50323,5.3012,-0.610004,0.0734665,0.126799,0.0323084,-0.252878,-1.34695,-1.43355,1.27652,0.22571,1.29235,-9.83953,1.86003,-1.86686,-0.0612766,1.88059,-1.20173,-3.08191,-2.24699,-1.5947,1.2547
-730.833,0.973409,0.0348443,6,63,0,733.571,-1.03455,0.323874,-0.933987,-2.01438,0.832476,-1.22298,1.07964,-1.93413,4.51735,5.07482,0.403626,-0.854565,-0.404848,-1.07417,-0.812078,-0.477018,0.90849,-0.651877,0.897009,-0.568825,22.0173,1.17652,0.278038,-1.77321,2.12508,-0.865636,0.455988,-2.23142,-1.09166,-0.544275
-732.193,0.995595,0.034079,6,63,0,737.436,-1.25539,-0.566605,-1.44114,-2.03786,1.34871,0.284039,0.795228,-1.50054,4.9367,5.52373,-1.05429,-1.49326,-0.38989,0.58271,-0.0958158,2.2376,0.00645914,0.863022,0.902876,0.27747,-19.8381,-0.775839,-3.08709,-2.17431,3.0715,1.00551,-3.80151,0.864696,-0.514407,2.30538
-727.115,0.998846,0.0352456,5,31,0,734.595,-1.20664,-0.45873,-0.852855,-1.1584,0.512034,0.331304,0.928734,-1.74383,5.13183,4.80225,-1.25615,-0.300367,-1.42038,-2.01789,2.08652,0.359274,-0.847751,-0.0945917,-0.392764,1.3558,-3.9832,-0.301343,-0.59911,-0.943531,1.13947,1.46238,-1.94126,-3.33212,0.0489652,-1.4578
-728.69,0.974977,0.0367238,6,63,0,731.882,-1.3571,0.361878,0.506899,0.580119,-0.306913,0.456438,1.2309,-1.49442,5.26795,5.69446,0.155739,-0.458223,0.178131,-0.692308,1.82876,-1.1046,-0.153983,0.098242,0.243961,-0.989976,-18.6292,0.529086,1.65843,1.10153,-1.34213,0.45829,-3.45138,-5.27379,0.226155,2.74928
-728.668,0.984363,0.0360413,6,127,0,733.854,-1.11932,-0.469148,-0.352214,0.698788,-0.679695,0.194766,0.873989,-0.716361,4.33711,5.33968,0.398022,-1.15693,-1.76134,-0.588666,0.441218,-1.43238,-0.0222782,0.796332,-1.05973,-1.19286,25.1576,-0.699886,1.11266,3.52098,-3.21746,6.09393,6.29324,8.66317,-1.48916,0.841718
-730.628,0.997365,0.0361997,6,63,0,734.792,-1.23669,0.107078,-0.67276,-1.52988,1.91138,-0.699056,2.11907,-1.95792,5.31072,4.82065,1.62409,0.335635,0.184653,-1.10089,-0.0768756,0.120111,0.386067,0.560107,1.55636,-1.1942,1.13885,0.38682,-0.334101,-1.39345,3.01384,-1.09922,0.997254,-1.25569,0.440709,-1.47216
-732.23,0.996929,0.0375211,6,63,0,735.938,-1.19021,-0.311123,0.663662,-1.5945,1.15941,-0.98632,1.26852,-1.95236,6.45124,5.52824,-0.344396,0.529015,-1.04271,-0.547693,1.88503,-0.210486,0.910923,-0.793489,-0.650816,-0.387316,1.10508,-0.0893247,2.34602,-1.43794,1.9962,-1.4647,-0.824812,-1.27358,2.17202,1.91293
-730.16,0.97831,0.0388229,6,63,0,737.343,-1.23026,0.251526,-1.53214,0.126669,0.227453,-0.163675,1.29348,-1.49717,3.5939,4.75287,0.379795,0.147861,1.33299,-1.35312,2.48198,-1.76237,-0.400047,-0.0199082,0.70011,0.821881,-13.4425,0.769031,-3.09127,0.664091,0.510559,-0.341266,-1.04049,-1.11466,-5.65735,-1.31646
-737.369,0.997345,0.0383851,6,63,0,742.447,-1.36304,-0.857255,0.744813,0.454075,-0.481495,0.0888137,1.79291,-1.37184,8.66225,5.46837,-0.540044,0.294908,0.160233,-0.944037,0.980081,-1.82511,0.651908,-0.783215,0.672789,-1.75435,-9.87642,-1.79082,2.90254,1.02352,-1.9242,-0.855803,0.227299,-0.276636,4.62925,1.93012
-737.12,0.952951,0.0397167,6,63,0,741.371,-1.14645,-0.890806,0.700568,0.548127,-0.514216,0.0896943,1.68484,-1.93234,8.37528,5.01604,0.787876,-0.0552769,0.586234,-0.128209,-0.0237162,0.0926802,0.411493,1.61673,1.61389,1.45626,21.5413,-0.732491,2.82191,1.0728,-0.383686,1.15887,0.966188,-0.404534,4.34076,-0.875274
-729.376,0.995139,0.0369619,6,63,0,744.268,-1.39337,-0.15528,-0.488246,-1.64867,1.38095,0.845336,1.63846,-1.47387,5.53876,5.22915,0.661705,0.839861,-1.25483,-0.770089,0.197913,-0.774444,0.305164,2.52166,-4.1139,-1.56768,-15.5355,-0.494619,-1.51637,-1.84269,2.40686,1.61226,-1.83196,-3.51749,0.760733,1.10314
-725.496,0.999166,0.0380239,6,63,0,730.577,-1.20441,-0.694024,0.0280358,0.227792,-0.599485,-0.532847,1.07859,-1.09918,4.87049,4.99373,1.33184,0.656689,-0.198074,1.47334,-1.79054,-0.690393,-1.11919,-0.167206,-0.543096,-0.698653,-2.26356,-1.20356,2.55052,1.25438,-1.84186,-2.35658,0.752314,1.35599,-0.506012,-0.300902
-726.739,0.983472,0.039465,6,63,0,728.21,-1.34157,-0.214892,-0.699537,-0.67613,0.366735,0.20196,0.996728,-0.804538,6.57302,5.22313,0.0132162,-1.13023,-0.273052,0.810575,-0.514601,0.557171,0.383923,0.123133,-0.103747,0.430869,-14.6125,-0.91412,-4.88737,-0.757158,1.1973,0.598494,-1.19831,0.778704,2.29845,1.1282
-727.693,0.989844,0.0394659,6,63,0,729.675,-1.26072,-0.685802,-0.693867,-1.12527,0.271715,0.136173,0.942212,-1.55926,6.23762,5.28333,-0.253898,-0.421005,0.358689,-0.305669,-0.680868,-0.976024,0.571273,-0.241771,-1.2623,-0.323371,-18.257,-0.91856,-0.87767,-0.99162,0.507543,0.505136,-2.95384,-4.20953,1.84161,1.33536
-730.009,0.999669,0.0400451,5,63,0,737.311,-1.2865,-1.29518,-0.380369,-1.77518,1.09744,-0.419848,1.59207,-1.20234,4.79528,4.59436,-0.9382,0.656007,-0.714815,0.809875,-0.922778,0.829908,-1.14498,-0.449246,2.8495,0.977078,-1.5647,-2.62862,-0.379222,-2.05105,3.54113,-2.24037,2.49347,6.39806,-0.666553,-2.64192
