# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-737.506,0.99847,0.00725806,9,511,0,750.647,-0.226552,0.382421,2.37412,-1.15983,-0.552787,-1.21841,-0.846904,-0.0690466,-1.74909,0.83822,0.486831,-0.770317,2.89296,1.13453,0.573317,-0.0872577,-0.0432676,-0.480738,0.740256,-0.848622,0.290473,0.347513,0.82307,0.0479582,4.74986,5.29019,0.991421,0.994984,0.000437415,0.314002,0.448079,0.226937,0.259077,0.223989,0.243147,0.286703,0.198518,0.287711,0.264207,0,0,0,0,0,0,0.259911,0.363006,0.251011,0.310728,0,0,0,0,0.271859,0.275271,0.282496,0.267032,0.291065,0,0,0,8,10,6,9
-733.239,0.999319,0.00769807,9,511,0,746.401,-1.42327,-0.297866,0.854762,-0.0534118,-1.36069,0.0696273,0.0686198,0.601897,0.484543,0.201862,-0.0406145,-0.147261,1.19957,1.85127,-1.39931,-0.403928,0.715234,-0.0553534,0.0818048,1.657,1.02457,0.591854,0.54349,0.0621671,5.40465,4.82661,0.995524,0.99205,0.000437415,0.149944,0.36231,0.184482,0.0562734,0.204046,0.20388,0.305507,0.28088,0.239058,0.215047,0,0,0,0,0,0,0.237155,0.135226,0.24895,0.248852,0,0,0,0,0.225466,0.225456,0.231021,0.229788,0.226838,0,0,0,8,10,6,9
-731.059,0.999723,0.00818665,9,511,0,745.729,-1.21917,1.01179,1.60247,-0.168677,-0.329868,-0.425328,0.162699,0.402401,0.0926091,-0.0878204,0.113249,-0.255895,0.647889,1.35657,-1.44447,0.105546,0.421026,-0.911251,-0.215207,-0.302152,0.642249,0.838499,0.251365,0.0349232,5.63572,4.87275,0.996445,0.992406,0.000437415,0.350732,0.440958,0.202195,0.186031,0.176938,0.238643,0.267675,0.230573,0.249565,0.281158,0,0,0,0,0,0,0.266708,0.25916,0.254754,0.282647,0,0,0,0,0.261203,0.26503,0.266599,0.264572,0.263395,0,0,0,8,10,6,9
-730.713,0.995876,0.00871537,9,511,0,742.652,-0.70401,-0.0940371,0.363739,-0.503734,-1.12831,-0.452741,-0.511025,0.21196,-0.0199823,1.48807,0.225327,-0.22482,-1.60673,-0.183167,-0.507999,-0.57617,-0.502949,-0.156903,0.612816,-1.7368,1.04211,0.0148129,0.359373,0.269229,5.63615,5.21394,0.996446,0.994589,0.000437415,0.269844,0.372464,0.194683,0.112255,0.203104,0.193501,0.336553,0.285214,0.249665,0.246308,0,0,0,0,0,0,0.252435,0.213786,0.25578,0.251959,0,0,0,0,0.226982,0.224325,0.258789,0.24738,0.327132,0,0,0,8,10,6,9
-740.222,0.999163,0.00917265,8,255,0,745.999,0.122507,-0.666441,2.46673,-0.88403,-1.01738,-0.909777,-0.702234,-0.992942,-1.01716,-0.732241,-0.635216,0.488759,1.56443,1.32662,0.199436,-0.434721,0.393632,-0.396751,0.414704,-1.18458,0.233091,0.000910744,1.21347,0.149118,4.28806,4.9789,0.986455,0.993165,0.000437415,0.224198,0.374614,0.215514,0.210314,0.214503,0.222753,0.21126,0.210323,0.238672,0.238688,0,0,0,0,0,0,0.239396,0.211626,0.233847,0.281059,0,0,0,0,0.237913,0.243465,0.235713,0.235075,0.242657,0,0,0,8,10,6,9
-734.683,0.999988,0.00974176,8,255,0,751.912,-0.296224,-0.475516,0.639386,-1.20163,-1.45921,-1.46504,-0.627867,0.0114627,-0.592181,0.420759,0.863981,1.03247,-0.189708,0.0531591,-1.26499,-0.836174,-2.00638,-0.431236,0.292877,0.480586,0.653566,0.00116309,0.397936,0.107528,5.73277,5.13904,0.996772,0.994171,0.000437415,0.239715,0.394663,0.164143,0.142369,0.141905,0.222084,0.302198,0.22613,0.234837,0.234926,0,0,0,0,0,0,0.237268,0.219867,0.219483,0.279211,0,0,0,0,0.217806,0.232929,0.244945,0.23359,0.252847,0,0,0,8,10,6,9
-732.364,0.998777,0.0103639,8,511,0,744.411,-1.62938,0.204226,0.923007,0.140721,0.00522641,-0.112887,0.170712,0.386204,0.080304,0.861954,-0.697449,0.969969,-0.761901,-1.20776,2.13132,0.0226354,-1.1025,-1.53436,0.442165,-0.204785,1.26109,0.00768685,0.644405,1.00104,4.49669,5.17108,0.988977,0.994354,0.000437415,0.251264,0.449563,0.236737,0.207697,0.184574,0.243525,0.296008,0.223457,0.267733,0.265504,0,0,0,0,0,0,0.276019,0.259721,0.246019,0.279709,0,0,0,0,0.206104,0.254657,0.296141,0.238415,0.399648,0,0,0,8,10,6,9
-730.184,0.999676,0.0109798,8,255,0,741.544,-0.746228,-0.398031,1.47224,-0.520119,-1.5834,-0.700401,-0.335373,-0.482203,-0.320741,1.24522,-0.30798,0.785406,0.766748,0.885809,-0.409981,0.390194,0.337673,-1.24261,0.223873,0.497948,0.524207,0.00375117,0.254609,0.205814,5.56053,4.95738,0.996168,0.993018,0.000437415,0.234278,0.448097,0.223035,0.141403,0.207143,0.240199,0.226485,0.241596,0.254132,0.253072,0,0,0,0,0,0,0.261088,0.214002,0.252662,0.269905,0,0,0,0,0.238441,0.251827,0.246385,0.252374,0.315158,0,0,0,8,10,6,9
-741.52,0.990602,0.0116524,8,255,0,754.601,-1.02936,0.0141986,0.94144,-0.459761,-0.492635,-0.691146,-0.0101123,0.477019,-0.55817,1.01177,-1.66323,1.32592,0.352362,1.027,2.26304,1.41921,-1.36484,-1.90001,1.28344,1.01393,0.89361,0.00466427,0.461045,0.0793594,3.95469,4.86494,0.981196,0.992347,0.000437415,0.225179,0.399192,0.159947,0.156044,0.134106,0.221418,0.305141,0.148495,0.227627,0.225538,0,0,0,0,0,0,0.227536,0.224998,0.210086,0.264173,0,0,0,0,0.217736,0.226666,0.233204,0.21946,0.240526,0,0,0,8,10,6,9
-743.762,0.998304,0.0120495,8,255,0,762.172,-0.383622,-0.440367,2.63822,-0.667941,-1.34028,-0.89559,-0.311503,-0.305128,0.522276,-0.304176,-0.131806,0.907829,-1.49171,0.727812,-0.58113,1.20778,0.528988,-2.13089,-2.26375,0.702694,0.460836,0.01248,0.825809,0.0170383,6.15753,5.09722,0.997887,0.993923,0.000437415,0.227482,0.545047,0.209718,0.163242,0.192981,0.237997,0.238525,0.313664,0.271904,0.272298,0,0,0,0,0,0,0.286999,0.193371,0.252541,0.34615,0,0,0,0,0.27025,0.272068,0.272088,0.274676,0.272091,0,0,0,8,10,6,9
