# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-725.245,0.999991,0.00469291,8,255,0,729.876,-1.05434,-0.403136,-1.56496,0.374583,-0.987818,-0.103263,-0.113288,-0.0563005,0.065445,0.705488,-0.726373,-0.686673,4.20426,5.07484,-0.259111,1.33449,0.592161,-1.80163,-0.798926,-0.0787808,-0.548963,0.183259,0.456388,0.698137,0.358615,0.118634,-0.884691,1.10275,-7.14278,1.00826,1.00685,0.565029,-5.89758,2.30572,-4.57213,1.23035,0.699995,-1.13526,-1.08485,-0.98202,-2.56819,0.167604
-723.893,0.999933,0.00502157,8,255,0,728.402,-0.891379,-1.12249,-1.80995,0.162021,-0.2752,-0.821611,0.0827543,-0.675732,-0.315456,0.860307,-0.540204,-0.467336,3.89625,5.23464,0.156882,0.520408,0.663114,0.541213,-1.75864,0.287946,0.297937,1.05552,0.647245,-0.439476,-0.460552,-1.37814,-0.941896,-0.0380077,11.0856,-3.42058,0.902527,1.5003,1.33711,-5.12076,7.76135,0.148584,0.159964,0.0261077,-0.24455,-0.346788,-3.34612,0.539819
-724.375,0.999958,0.00537144,9,511,0,729.037,-1.21395,-0.738161,-2.53844,0.372364,0.124692,-0.520802,0.191538,0.380378,0.131494,1.26217,0.245069,-0.407222,6.51965,5.00002,-0.239312,-0.582708,0.0442727,0.889667,0.121552,0.056463,1.65875,0.223804,1.14208,1.34819,0.172105,0.0263407,-1.31433,0.658867,-15.8094,-4.00858,-1.22568,-0.770043,1.12511,-7.75675,-3.43138,2.62535,0.609126,0.432083,1.59782,1.72172,2.22757,0.0411664
-722.598,0.999933,0.00574386,9,511,0,731.005,-1.56397,0.431094,-2.54337,0.995536,0.372261,0.475796,0.761846,-0.18109,-0.400042,1.25482,0.124495,-0.135413,4.19586,5.54754,-1.23095,1.09661,1.26641,-0.974186,0.675763,-1.7547,-0.554052,-1.10246,0.809501,0.769319,-0.452225,0.609444,-1.46859,-1.58301,9.13972,3.99492,-1.81784,5.27888,-1.71839,2.84058,7.29926,-0.539645,-3.32578,-0.607416,-0.7651,7.94388,-2.24367,1.80208
-725.925,0.999173,0.00613816,9,1023,0,730.378,-0.965381,-1.21186,-1.28474,0.221463,-0.392013,-0.183989,0.0461369,-0.450497,0.537912,0.578036,-0.19367,-0.00819376,5.54157,4.83826,0.860175,0.416292,0.247822,-0.319545,-0.329782,0.269231,-0.383313,-0.592132,-1.29099,1.34903,-0.905517,-0.0952826,1.41709,0.909294,10.6014,-11.7186,2.32699,4.44275,-4.87922,3.74596,8.14883,0.550777,6.29664,-0.794325,1.01932,12.0474,0.915697,-1.21131
-722.893,0.999305,0.00654078,7,127,0,730.315,-1.00228,-0.175483,-1.35342,0.287276,-0.168343,-0.243436,0.0580387,-1.24975,-0.0482012,0.765071,-0.687592,-0.653593,5.61388,4.88915,-0.450423,2.56545,-0.587622,-0.0594996,0.999211,-0.38142,0.0314756,-1.41004,-1.63416,0.696259,-0.838663,-0.732516,-0.0779868,0.421614,22.2687,3.35828,1.67051,0.949548,1.24488,2.19365,1.99684,-1.25262,0.656507,-0.738384,-0.790083,-6.83113,1.06906,-1.78231
-726.102,0.999913,0.00696699,8,255,0,731.294,-1.36629,-0.660289,-2.04632,0.595664,-0.199171,-0.123457,0.700979,-1.81844,0.0760196,1.78142,-0.0583237,-0.653077,5.70925,4.42254,0.643498,0.469137,1.28567,-0.694087,-0.774929,-0.832412,1.08955,0.303492,-0.175464,-1.65932,-1.24492,0.792672,0.147183,-0.241411,-19.9053,-2.93496,-0.453808,-1.22695,-3.68783,-3.07379,2.09193,-2.7393,-0.10146,0.931712,-0.205938,-1.13198,1.03563,-3.25919
-726.455,0.999243,0.00742713,8,255,0,730.783,-1.35362,-0.441855,-2.03744,0.863388,0.941725,-0.0785486,0.381246,-1.19961,-0.160743,1.90034,0.320426,-1.04448,4.98234,5.31037,-0.0376383,-0.742537,-0.17586,-0.317256,-0.603581,-0.6719,1.01287,-1.4951,0.226521,0.245905,-0.258834,-0.447465,1.05718,-1.54871,-25.6388,-1.13493,-0.551483,-0.614187,2.47335,-2.01866,-5.4569,-1.39034,-0.519252,0.657395,0.498566,-7.29468,-0.465161,1.56229
-726.715,0.999366,0.00789551,7,255,0,731.377,-1.28204,-0.0204106,-1.60056,0.893128,0.888767,0.134636,0.150539,-0.660913,0.019329,1.87229,0.426032,-1.20062,4.72487,5.42453,-1.66551,0.991028,1.20067,-0.0492752,-0.791749,0.410796,-0.176275,1.59226,0.490981,-0.256471,0.113943,0.247524,-0.611083,0.0946524,-13.7162,0.633394,0.0557093,-0.131981,2.22779,-0.031518,-5.3325,-0.479181,-0.0723835,0.732295,0.75843,-6.05123,-1.01179,1.73589
-730.407,0.999469,0.00838818,7,127,0,735.352,-1.59124,-0.295996,-2.14924,1.05697,0.978059,0.270968,1.05122,-1.08812,-0.74816,2.34643,0.0392227,-0.32106,4.52943,5.66448,0.0080427,0.0360683,-1.02933,0.0761125,-1.3443,0.918834,1.88381,-0.46248,-1.08459,0.421304,-0.7685,0.670687,-0.106236,-0.0625271,4.48648,-5.38402,-1.02949,2.07808,7.14885,-4.40689,11.1595,-2.7585,-3.72255,3.94271,-1.15763,23.0394,-1.2305,2.54573
