# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=91950713
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-46.4838,0.999803,0.00138479,10,1023,0,56.2795,0.0877046,0.153389,0.0543619,-0.0474317,0.141798,0.0477344,0.470565,-0.245237,0.167123,0.00223302,0.0947558,0.0425932,-0.0221186,-0.273797,-1.38647,-0.429179,-1.58516,-3.04875,-0.460082,-0.49458,-0.690922,-1.31103,0.206083,1.2671,1.94109,0.617459,1.53149,-2.34647,-1.08069,-0.333566,0.363836,-0.812268,0.480627,0.20519,0.299062,-1.00842,0.0444139,-0.222099,8.61654,8.54962,6.40019,-3.37359,1.27994,14.4448,2.13508,-3.02403,1.14706,8.16908,7.76018,4.88611,-3.4092,50.1103,-0.631141,-0.0453936,-0.828869,-0.932037,16.4561
-49.1024,0.999961,0.0014951,9,511,0,53.9142,-0.337008,0.0220448,-0.168273,0.0742802,0.295203,0.0330576,0.518275,-0.237006,0.250427,-0.104505,-0.0661238,-0.0818555,0.0181654,-0.278805,-1.41497,-0.190078,-1.39529,-3.05272,-0.364032,0.42563,0.895603,0.192389,-0.0315697,-0.106255,-0.814863,0.102596,-0.565702,-0.124118,1.93421,-1.12248,-0.477289,0.86975,-0.197358,-0.22024,-0.822009,-0.828356,-0.116514,-0.364255,-15.3182,-0.12451,-8.55284,5.62066,5.48571,9.04099,2.2424,-3.33955,1.63359,-19.2541,-3.40974,-7.96491,2.83018,52.0613,-2.21833,-0.491263,-0.857508,-0.979907,3.63576
-50.8126,0.999973,0.00161521,10,1919,0,57.6824,0.0524878,0.0836953,0.0875158,-0.0632372,0.218369,-0.090613,1.01208,-0.383235,0.48395,0.0425793,0.154404,0.101788,-0.0415783,-0.274542,-1.4007,-0.42636,-1.61854,-2.7849,-0.507981,-1.96363,0.0185815,-0.54554,0.112537,0.859519,-0.406339,-1.05503,-0.325192,-0.388361,0.778512,-1.04758,1.49768,0.487978,0.737753,-0.347411,0.733387,0.652091,-1.04078,-0.635349,5.75142,3.04201,7.61711,-5.64149,2.96083,-22.4309,5.02088,-5.18079,3.10728,6.40361,9.02566,10.6587,-7.28803,50.5217,-1.01523,-0.260873,-0.7438,-0.878541,-2.14882
-52.4773,0.999963,0.0017447,10,1023,0,59.7544,-0.372571,0.0773976,-0.0552707,0.147377,0.061632,0.10384,0.645176,0.288124,0.812212,-0.0971366,-0.114894,0.0795455,-0.0551213,-0.30121,-1.08552,-1.16247,-1.84916,-2.74907,-0.463071,0.240478,0.376009,1.02587,-1.21801,0.268683,-0.0538549,-1.86438,0.904934,-0.934997,0.866585,1.11424,0.639516,0.241413,-1.29104,0.870127,-1.23634,-0.153745,0.335707,0.162556,-18.6517,1.9571,-1.22153,10.6357,-2.57214,23.2831,2.85014,4.1708,4.99768,-22.6422,-7.1665,8.18801,-9.80917,40.7798,-1.26052,-0.343748,-1.10388,-0.878328,-10.4785
-48.2775,0.999959,0.00188369,9,1023,0,60.2922,-0.0110448,0.0927063,-0.265261,0.0388045,0.286145,0.0211729,0.452878,-0.460602,0.150125,-0.0108202,0.0140743,0.161866,-0.0805407,-0.293474,-0.766867,-0.759117,-2.43464,-2.53549,-0.444025,-2.41338,0.243533,-0.164552,1.31282,0.574886,-1.77663,-1.0686,-0.555629,-1.98604,1.37386,-1.34211,0.000497476,-0.69207,0.0244561,0.584026,0.865025,-0.859636,0.649893,1.04602,6.08599,3.84925,-17.1126,3.57608,4.48168,5.65089,2.07651,-6.42155,0.906763,0.505023,0.209888,17.1153,-13.5012,45.1609,-1.24736,-0.569389,-0.99643,-0.766606,4.97077
-46.4385,0.999938,0.0020324,8,511,0,58.4229,-0.155179,-0.0695289,0.107404,0.0537215,0.103423,0.0136573,-0.182937,0.338717,0.0746925,-0.0343661,-0.000365133,-0.191357,-0.12314,-0.420913,-0.24975,-0.712235,-2.54699,-1.99387,-0.410242,-2.19821,0.0526035,0.246305,-1.39655,0.623451,-0.293999,1.63123,-1.87102,0.33045,-0.0744061,1.21433,-0.378417,0.782673,1.91252,-1.34917,-0.186586,0.117668,-1.5833,-0.327964,-3.91701,-16.6117,26.5088,8.3028,-5.28948,4.09573,-1.19605,5.00313,0.475527,-2.25797,0.138916,-17.861,-20.0795,-23.6407,1.60536,-0.684653,-0.768372,-1.14342,10.7096
-43.0592,0.999957,0.00219096,7,255,0,53.7244,-0.10078,-0.0877509,-0.0075751,0.0145265,0.0229386,-0.0503491,-0.19062,0.314423,0.0691454,-0.062183,-0.0313883,0.0472404,-0.0861472,-0.370497,-0.17771,-0.733421,-2.60989,-2.0497,-0.380117,0.589313,0.465028,-2.24463,-0.799095,-0.725412,-0.552764,-0.0510857,-0.497647,-0.0881062,-0.131935,-0.354925,3.09091,1.1696,1.0146,0.892629,-0.234871,-0.765068,-0.671435,-0.132256,4.69496,-16.8061,12.7625,5.32906,-8.45915,-11.4479,-1.17024,4.62126,0.428108,-8.96355,-1.98836,6.40446,-14.6229,4.51149,-0.385319,-0.776685,-0.844668,-0.744036,8.17189
-41.5041,0.99977,0.00235983,7,127,0,48.2432,-0.118931,0.0563175,-0.0328184,-0.0611362,-0.0602834,0.0343267,-0.263546,0.143043,0.101937,-0.0139754,0.0362141,0.00408948,0.0517085,-0.348559,-0.235513,-0.824943,-2.71833,-2.04583,-0.451796,0.465543,-1.57187,1.69754,0.00897573,-0.821231,-0.652959,0.2716,1.23193,-0.126798,-1.60288,-0.227784,0.662814,-0.977103,-0.218952,0.401958,0.438977,0.520201,-0.0972595,0.709376,-0.927958,0.543944,4.9915,-8.7799,-13.4178,7.68658,-1.55193,2.12441,0.632019,-6.36196,1.13376,0.558253,7.08918,17.0162,-0.20566,-0.539141,-0.870554,-0.939386,-9.23691
-48.3184,0.999653,0.00253779,11,2047,0,54.3795,-0.0987322,0.114728,0.0951106,0.176225,0.0260753,-0.0668816,-0.272017,0.0433408,-0.435502,-0.0487743,-0.0151178,0.0370942,0.00876993,-0.382305,-0.434139,-4.37293,-5.08402,-0.385243,-0.496473,1.22021,-1.38721,1.19871,0.722681,-0.189926,0.0510469,-0.266037,-0.558327,0.51727,0.0701766,-1.12798,-0.719848,-0.0788836,-0.425136,-0.381843,-0.369395,-0.780902,-1.70529,-0.527668,-0.732487,3.44208,15.9992,18.0787,-8.89289,-15.9075,-1.37897,0.619939,-2.61,-10.2686,-0.773409,12.7252,0.626455,-1.4433,0.654358,-0.995369,-0.994571,0.00629942,12.0179
-40.2244,0.999839,0.00272534,10,1535,0,54.1109,-0.0124599,0.0958799,-0.109698,0.0116121,0.43372,-0.00144425,0.675832,0.0443746,0.181303,-0.0674443,-0.00983994,0.0481419,0.0123458,-0.391806,-0.0773785,-1.82852,-0.60485,0.0372167,-0.546057,-0.779465,1.69778,-0.198258,-1.07181,0.327991,-1.24162,-0.431955,-0.0486772,1.10525,0.105198,-0.0180498,1.49746,0.920868,-0.693638,0.814499,-2.27054,-3.24973,-0.248158,0.106014,9.05791,-1.47276,-14.0637,-6.72895,13.3616,-7.4919,3.87337,1.05853,1.46547,-15.9491,-0.693114,13.8572,-18.0763,-1.06152,0.925892,-0.735125,-0.021645,0.22294,-10.6885
-39.6055,0.999898,0.00292495,8,511,0,45.2186,-0.0822232,0.0763021,0.0466802,0.0462416,0.263776,0.0213648,0.824925,0.194755,0.0443985,0.0728312,0.0200194,-0.0498721,0.0392938,-0.347381,-0.0691528,-1.66856,-0.871335,-0.0710114,-0.572787,1.08458,-0.428654,-0.537852,-1.14159,1.67522,0.75514,-0.293926,-0.411887,0.706726,-0.546482,-0.0847113,-0.488587,0.617734,0.186388,-0.0940157,-0.862541,1.22735,0.548217,-0.788006,-4.02454,-4.97939,9.19357,-2.0027,0.950997,-1.67863,4.08189,3.49109,0.148061,13.2964,0.505238,-12.7785,0.385063,22.5198,-2.23819,-0.988149,-0.618171,0.0809917,-14.774
