# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-210.288,0.948179,0.0653573,6,63,0,214.874,-0.378265,0.540593,1.23977,0.216262,-0.34218,-1.11337,0.387955,0.117826,-0.553434,0.379933,8,0.125,0.456888,0.523175,0.426511,0.375599,0.309754,0.442538,0.41739,0.356972,8
-209.535,0.999774,0.0599368,6,63,0,213.188,-0.186218,1.06681,-0.191681,-0.125745,-0.89274,1.15711,-0.951388,0.664289,-0.415511,0.206731,8,0.125,0.50858,0.443778,0.447145,0.408354,0.513245,0.405428,0.48778,0.432387,8
-210.407,0.998482,0.0621353,6,63,0,214.975,-0.407053,0.20062,1.65301,-0.492303,1.40649,-0.166788,0.269261,-0.993587,-1.08566,0.160699,8,0.125,0.407378,0.464705,0.380797,0.454866,0.393206,0.410044,0.361994,0.358584,8
-211.194,0.97506,0.0641784,6,63,0,214.424,-0.19028,0.713413,-0.804672,0.507102,-1.20858,0.41282,-1.95133,0.917373,1.11081,0.188808,8,0.125,0.486108,0.415273,0.476384,0.396883,0.471946,0.363847,0.495732,0.504862,8
-208.924,0.998242,0.0627367,6,63,0,216.3,-0.449734,1.13323,-0.151052,0.143007,1.36421,0.789847,-0.25335,1.12718,0.296482,0.146703,8,0.125,0.429599,0.384168,0.394424,0.437922,0.417302,0.380624,0.429382,0.399814,8
-209.494,0.943783,0.064711,6,63,0,215.589,-0.556679,0.296467,1.34127,0.123173,-0.925511,-0.37506,-0.816052,-1.058,-0.0343637,0.0945451,8,0.125,0.370832,0.394158,0.367017,0.344302,0.356144,0.346642,0.341479,0.363564,8
-210.092,0.999985,0.0588681,6,63,0,212.121,-0.54825,-0.728235,1.87533,-0.191336,-0.852679,-0.43375,-0.739227,-0.296874,0.530852,0.121484,8,0.125,0.345989,0.420571,0.360892,0.342576,0.354128,0.345687,0.35794,0.381365,8
-209.908,0.983443,0.0609435,6,63,0,212.768,-0.261891,-0.136861,-0.110774,-0.118526,0.686549,0.845322,0.385836,-0.140836,-0.712837,0.0683027,8,0.125,0.432603,0.43304,0.43291,0.446457,0.449138,0.441386,0.432536,0.422973,8
-213.58,0.997868,0.0607331,5,31,0,218.033,-0.189428,0.805792,-0.149889,1.65944,-0.536941,0.804436,-1.48036,-0.631711,-0.0900064,0.505434,8,0.125,0.554247,0.434089,0.656855,0.386792,0.554078,0.281374,0.375494,0.441539,8
-208.461,0.999928,0.062516,5,31,0,217.74,-0.515013,0.985866,0.137617,0.0479796,-0.821998,-0.0544502,-1.40898,-0.143046,0.41041,0.135812,8,0.125,0.405857,0.378405,0.375546,0.348271,0.372289,0.330402,0.369482,0.387158,8
