# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-221.773,0.999409,0.0220215,7,255,0,246.693,-0.545476,-0.261386,0.853143,-0.530035,0.0612702,0.197777,0.472666,2.33724,0.0697853,0.317471,1.79719,-0.564557,-0.344858,0.977612,-0.799448,-0.721083,1.37587,-0.0398885,0.586429,0.00455854,0.537526,0.0537712,240,0.00181806,0.315353,0.467877,0.28268,0.357104,0.375484,0.413549,0.385568,0.383178,0,0,0,0,0.348586,0.422738,0.440494,0.476661,0,0,0.377373,0.380774,0.404138,0.375793,0.378852,0,6,8,6,9
-218.759,0.99268,0.0232051,7,127,0,241.626,-0.352898,0.836327,-0.0747951,-2.37651,0.278056,0.420241,-0.263654,0.193631,-0.500046,0.321301,-1.35274,0.429736,0.5956,-1.05575,0.613813,1.26196,-1.08518,-0.121109,0.0244409,0.284824,0.0407131,0.445854,240,0.00181806,0.400976,0.395684,0.382424,0.397731,0.398557,0.39459,0.415747,0.368976,0,0,0,0,0.386813,0.412534,0.413927,0.407242,0,0,0.437363,0.364501,0.412752,0.340519,0.426573,0,6,8,6,9
-216.875,0.991068,0.0239777,7,127,0,234.006,0.0700149,0.782107,0.288475,1.10003,-1.32426,0.231839,-0.242036,-0.182311,-0.563634,0.0729684,0.578572,-0.775933,0.412298,-0.300957,-0.564969,-1.51272,1.25139,-1.02371,0.529775,1.26018,0.00905642,0.534858,240,0.00181806,0.49578,0.432021,0.53704,0.247064,0.424805,0.365924,0.442626,0.332983,0,0,0,0,0.397278,0.392274,0.395483,0.394505,0,0,0.442154,0.383426,0.390688,0.34523,0.422213,0,6,8,6,9
-213.028,0.988249,0.0246655,7,127,0,224.006,0.317414,0.743612,0.415529,-0.00897248,-0.641288,-0.495521,-0.644176,-0.699666,-0.898479,-0.0931232,0.145358,0.37358,0.0707632,0.51888,-0.86875,-0.249415,0.202878,-0.709193,0.282223,0.676494,0.027132,0.407023,240,0.00181806,0.438752,0.416175,0.387488,0.346211,0.355549,0.346027,0.387498,0.356337,0,0,0,0,0.37561,0.37163,0.372546,0.371612,0,0,0.382642,0.368545,0.363338,0.344949,0.421739,0,6,8,6,9
-219.274,0.992834,0.0251708,7,127,0,223.567,-0.597059,-0.408721,0.120087,-0.036207,-0.405676,0.0254904,-0.00542076,0.790149,0.127104,-1.71917,-2.03415,-0.749376,-0.102382,-1.1945,0.0496762,-0.0949097,-0.181987,-0.0452818,0.696522,0.383798,0.00641987,0.205454,240,0.00181806,0.334065,0.419475,0.39347,0.334532,0.403673,0.39855,0.408685,0.349489,0,0,0,0,0.383689,0.383136,0.383781,0.383735,0,0,0.386647,0.385155,0.424176,0.391568,0.306389,0,6,8,6,9
-222.059,0.99764,0.0260281,7,127,0,232.13,-0.336109,2.42525,0.530785,-2.55941,-0.486445,-0.499442,0.500071,0.6028,-0.493023,0.283588,-0.150468,-0.877546,-0.164876,1.67547,-0.640411,-0.252887,-0.48146,1.89533,0.252217,0.0528965,0.136821,0.122912,240,0.00181806,0.516099,0.398926,0.234269,0.339678,0.338948,0.397083,0.386287,0.37299,0,0,0,0,0.353481,0.419212,0.418789,0.451672,0,0,0.363068,0.391187,0.394121,0.363246,0.385029,0,6,8,6,9
-214.969,0.996546,0.0272772,7,127,0,230.849,-0.253744,0.432191,0.053863,-1.17379,-0.413919,-0.413591,-0.280584,1.84417,0.555304,-0.311237,1.29469,0.908534,-0.239982,-0.0028249,-0.835178,0.872835,-0.49294,0.132955,0.65015,0.112365,0.241928,0.0218312,240,0.00181806,0.491823,0.430989,0.254746,0.358722,0.358771,0.37883,0.400392,0.366708,0,0,0,0,0.369616,0.412702,0.412721,0.420421,0,0,0.38233,0.383005,0.393836,0.387253,0.382849,0,6,8,6,9
-215.048,0.995637,0.0284828,7,127,0,224.496,1.16542,-0.103744,0.516862,-0.245896,-0.194619,0.625126,-0.533575,-0.452759,-0.94204,0.172046,-0.236881,0.445552,-0.114318,0.758168,0.761609,-0.663586,1.41321,0.705957,0.0997174,2.08875,0.830001,0.713988,240,0.00181806,0.393743,0.407101,0.390703,0.391798,0.409445,0.384574,0.489685,0.267373,0,0,0,0,0.368071,0.377199,0.529923,0.318594,0,0,0.534876,0.348774,0.361037,0.289826,0.460482,0,6,8,6,9
-220.436,0.969019,0.0296497,7,127,0,226.541,-0.33207,1.30209,-1.14808,-1.45522,-0.800837,-0.965251,-0.322966,1.31614,-0.970974,0.000705797,0.835087,-0.209482,1.20462,1.10442,-1.75816,-0.44841,-1.4316,-0.835296,0.135844,0.196266,0.210641,0.0662215,240,0.00181806,0.415312,0.338399,0.329238,0.348901,0.34391,0.363592,0.400075,0.29904,0,0,0,0,0.345166,0.376486,0.368509,0.400035,0,0,0.344668,0.354194,0.379012,0.344584,0.359038,0,6,8,6,9
-217.013,0.989095,0.0286604,7,127,0,228.518,-0.339146,0.465141,0.316834,-0.155595,-0.214339,0.456636,1.41469,-0.170579,-0.159766,-1.09375,-0.377083,-0.705999,0.742154,0.390298,-1.33078,-0.1353,-0.00717138,0.173118,0.105568,1.69227,1.00362,0.0888154,240,0.00181806,0.394587,0.391073,0.379961,0.378588,0.394385,0.417344,0.394892,0.399011,0,0,0,0,0.331841,0.318928,0.478313,0.705285,0,0,0.401826,0.421237,0.38929,0.389505,0.371118,0,6,8,6,9
-219.98,0.961616,0.0292879,7,127,0,229.101,-0.121785,1.58888,0.541434,-0.842243,0.452334,-0.797713,-0.997674,-0.660005,-1.62957,0.650398,0.234486,0.268945,-0.520779,0.675199,-1.06193,-1.44077,0.857507,0.99108,0.275889,0.1128,0.0429349,0.163972,240,0.00181806,0.5109,0.439232,0.348731,0.433209,0.351516,0.33909,0.407492,0.381846,0,0,0,0,0.395798,0.408911,0.396247,0.394233,0,0,0.393734,0.38606,0.39905,0.362189,0.450648,0,6,8,6,9
-220.309,0.998978,0.0277668,7,127,0,230.485,-1.18438,-0.0121384,0.769442,0.537667,-0.106487,1.18622,1.02627,0.601972,-0.357828,0.733112,-1.29826,0.629189,1.06013,-1.67528,0.0935101,1.08909,0.622709,-1.29753,0.213238,0.886457,0.0362412,0.10222,240,0.00181806,0.292923,0.327309,0.316904,0.288912,0.346428,0.33903,0.397418,0.220183,0,0,0,0,0.32153,0.316649,0.326482,0.325257,0,0,0.333475,0.329988,0.320827,0.300588,0.323645,0,6,8,6,9
-223.932,0.999296,0.0291364,7,127,0,234.061,-0.625512,1.31225,1.44922,0.0267943,-0.0781087,1.22546,0.191412,0.984821,-0.813285,2.08987,-1.11128,1.04399,0.560856,-1.29687,2.58871,0.622399,-0.563344,-0.658622,0.104362,0.0898787,0.221613,0.0861951,240,0.00181806,0.414596,0.41805,0.382633,0.380064,0.412412,0.386676,0.415064,0.376638,0,0,0,0,0.385692,0.38022,0.449944,0.394336,0,0,0.409329,0.388078,0.404351,0.367827,0.427361,0,6,8,6,9
-225.853,0.99883,0.0305736,7,127,0,235.959,0.0536931,0.409966,0.231177,-1.38942,-2.84076,-0.0909075,-1.11428,-0.333724,-0.231795,-1.90372,1.11345,-1.05052,-0.572182,1.29831,-2.58626,-0.633308,0.569198,0.651505,0.318293,0.17671,0.0314624,0.350565,240,0.00181806,0.463179,0.449234,0.328766,0.236594,0.424321,0.348165,0.37183,0.375894,0,0,0,0,0.372252,0.362022,0.381498,0.374204,0,0,0.42165,0.33954,0.401602,0.409984,0.281773,0,6,8,6,9
-231.086,0.985963,0.0320143,6,63,0,237.955,0.181482,0.977633,-0.444934,-1.64703,-2.6758,-0.646749,-1.89787,-0.696018,0.33626,-1.79788,0.745952,-1.18443,-0.391763,2.03025,-2.48448,-0.0105245,0.803965,0.948164,0.187381,0.148216,0.0268672,0.222147,240,0.00181806,0.517068,0.451205,0.396753,0.352036,0.441945,0.385659,0.40333,0.43994,0,0,0,0,0.418154,0.411575,0.424578,0.416547,0,0,0.435586,0.369663,0.43293,0.489144,0.374792,0,6,8,6,9
-230.163,0.999111,0.0323805,7,127,0,243.983,0.433817,0.871112,0.0673363,-1.43098,-2.21648,-2.12807,-1.68239,-0.42179,-1.81345,-0.310552,0.439278,-0.908569,0.15615,2.32929,-3.10536,-0.858896,0.245705,1.82216,0.268366,0.405405,0.0433624,0.0971557,240,0.00181806,0.515451,0.462694,0.367309,0.320645,0.325744,0.352056,0.43649,0.308512,0,0,0,0,0.384555,0.376834,0.3777,0.382077,0,0,0.363697,0.373399,0.401358,0.370535,0.403858,0,6,8,6,9
-225.308,0.995634,0.0338831,6,63,0,238.394,-0.0865932,-0.111882,-0.946127,-0.990529,-1.19605,-1.53251,-0.597348,-0.291684,-1.27564,-0.0450993,0.263625,-0.6582,0.0603068,1.84767,-2.85366,-0.405778,0.482352,1.76501,0.113449,0.443306,0.0276867,0.0253313,240,0.00181806,0.387975,0.365988,0.364832,0.359503,0.350851,0.375119,0.409612,0.309706,0,0,0,0,0.367922,0.366615,0.364478,0.370429,0,0,0.362777,0.36821,0.369993,0.364266,0.371434,0,6,8,6,9
