# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-211.505,0.996377,0.0286688,7,127,0,218.11,-0.430082,-0.638416,-0.823533,0.42777,-1.55406,1.28969,-1.32407,-1.13922,-0.925056,-1.68184,0.563104,-1.67203,0.911633,1.32568,-1.52849,-0.125583,-1.16218,-1.31087,0.41827,-1.38277,-9.95631,-1.28591,-1.45404,0.509379,-1.55728,1.4325,-1.83656,-1.26769,-0.999466,1.23651
-208.822,0.998331,0.029911,7,127,0,214.359,-0.429764,0.735218,0.940463,0.338185,-0.615483,-0.647006,-0.793152,-1.41528,-1.12463,-1.20543,1.00045,1.05903,0.94977,-0.606165,1.48185,-1.34178,1.05967,1.20596,0.904255,0.539227,-7.78303,0.328737,1.11907,0.498479,-0.599502,-1.22422,-1.5245,-1.99535,-1.38716,1.28278
-210.82,0.992374,0.0313731,7,127,0,216.104,-0.600005,-0.0892131,-0.51949,-0.425525,0.407653,0.919926,-0.0987728,1.42275,1.36406,-2.55091,1.17974,-0.15115,-2.51097,0.472984,0.805718,0.459094,-0.542141,0.726879,-0.870393,0.43113,-10.5013,-0.387872,-0.822575,-0.484647,0.41428,0.814153,-0.126064,1.44329,1.35841,-0.783114
-209.637,0.979135,0.0323403,7,127,0,216.503,-0.302726,0.74477,0.885918,0.344422,-0.250386,-0.633402,-0.87233,-1.38377,-1.40956,-0.778969,-2.26606,-0.0123859,0.243384,-0.332512,-1.00026,0.0147297,-0.617912,-2.42261,0.640653,0.875299,-4.71943,0.86118,2.25579,0.963947,-0.162623,-1.43536,-2.55771,-2.48655,-2.03974,5.34301
-211.042,0.995595,0.0321115,6,63,0,214.431,-0.214433,0.277346,0.736708,-0.685898,-0.549819,-0.745566,-1.54775,-1.25913,-2.18038,-1.82407,-0.997487,0.678999,0.766457,1.16145,0.186103,-0.285451,0.178207,-0.807011,-0.0357179,1.60785,5.70398,0.0997978,0.913075,-0.597189,-0.505546,-0.770697,-0.768539,-1.14273,-2.22762,-2.07398
-210.835,0.999995,0.0333893,7,127,0,215.987,-0.52667,0.237127,-0.542535,0.457946,0.371253,1.1559,0.22977,0.51875,1.89523,-2.98242,0.0070638,-0.395012,0.530267,0.505127,0.241635,1.78664,0.0369691,-0.886315,1.9903,-1.27048,-4.72869,0.0712672,-0.701326,0.446853,0.377693,1.10582,0.380383,0.528436,1.9014,-0.911769
-212.655,0.999603,0.0351228,6,127,0,220.123,-0.51839,-0.694391,0.290982,1.25936,1.59044,-0.972814,1.56924,0.177111,0.770536,-2.96138,-0.526405,0.921602,-1.0847,-0.569738,-1.00295,2.50228,-1.05831,0.554909,1.8873,-0.227229,-2.20985,-0.876211,0.152133,1.25909,1.59966,-1.05562,1.87061,0.184103,0.769182,-0.294421
-211.435,0.996504,0.0368771,6,127,0,216.855,-0.443645,1.20444,0.608094,-0.458179,0.323638,0.470572,-2.39995,0.229967,-1.01044,-2.87488,0.623751,-0.139764,0.702095,1.24227,2.2425,-0.914015,0.483813,0.445171,0.21272,-1.43328,-4.0428,1.06826,0.504542,-0.462397,0.334115,0.432628,-2.36225,0.265914,-1.01574,-1.25996
-212.355,0.99305,0.0383636,6,127,0,217.659,-0.521782,0.807274,-0.593253,-0.665269,1.28184,0.277854,-2.01907,-0.886518,-1.1569,-2.92536,-0.23432,0.907915,1.86656,0.149866,-1.25305,0.414851,-1.25338,1.66756,-0.111976,-0.339573,-9.93552,0.643543,-0.761107,-0.689174,1.29074,0.212089,-2.08019,-0.899527,-1.17543,-0.813547
-213.379,0.99995,0.0395135,6,63,0,217.94,-0.042425,0.378597,-0.858238,1.39542,1.11972,-1.15472,-1.57489,-1.83715,0.0816588,-0.928159,-0.892076,-0.749585,0.550901,0.699718,-1.09455,-0.608362,1.55529,0.399069,1.08206,1.28621,0.596155,0.653836,-1.48376,3.07258,1.43444,-1.61996,-2.50675,-2.4091,0.661545,5.832
