# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-217.429,0.999662,0.0117863,8,255,0,224.027,-0.486548,1.9211,-0.742829,-0.482533,-0.0247604,0.573371,-0.10647,0.65873,1.14757,-0.047243,-0.615466,0.701526,1.15601,-1.02929,1.09448,1.02304,0.785198,0.691893,-0.758398,-0.21116,0.0553829,0.468707,0.24824,0.260977,320,0.000315844,0.390836,0.356658,0.359941,0.365746,0.373388,0.364707,0.374484,0.380785,0.395398,0.334181,0,0,0,0,0,0,0.354271,0.380469,0.415748,0.375737,0,0,0,0,0.377232,0.336812,0.382443,0.412771,0.340251,0,0,0,8,10,6,9
-216.039,0.999134,0.0125085,8,255,0,227.228,-0.109262,-0.585881,1.08667,-0.370814,0.382274,0.588102,-0.244441,-0.0789298,-0.640681,-0.00826816,-0.381545,0.155295,1.29666,-0.721117,-0.738719,1.7156,-1.85992,0.995421,-0.275754,-1.91258,0.0839472,1.0148,0.703372,0.437409,320,0.000315844,0.395589,0.428438,0.399768,0.41451,0.418567,0.40223,0.405462,0.394526,0.443943,0.355751,0,0,0,0,0,0,0.36466,0.491483,0.527048,0.385162,0,0,0,0,0.475549,0.38889,0.405749,0.349638,0.413016,0,0,0,8,10,6,9
-216.419,0.994118,0.0132483,8,255,0,230.061,-0.323979,0.463652,0.228589,-1.44155,-1.15992,0.247514,-0.639296,0.648414,0.469804,0.299787,-0.269638,1.49383,-0.880798,0.714124,-0.290165,-0.490715,-1.56973,0.274949,-1.21196,0.839066,0.193299,0.467598,0.0851833,0.32597,320,0.000315844,0.440767,0.429721,0.353785,0.366199,0.430608,0.389608,0.449491,0.441057,0.441556,0.37796,0,0,0,0,0,0,0.406617,0.412336,0.441239,0.422969,0,0,0,0,0.421859,0.353968,0.453713,0.439459,0.425982,0,0,0,8,10,6,9
-216.265,0.997505,0.0138257,8,255,0,228.053,-0.883849,-0.0359639,0.580566,0.762784,1.34138,0.255661,0.0072701,-0.0773489,-0.557144,0.138593,-0.385847,0.145711,0.683309,0.785689,1.09666,0.800853,0.627699,0.653362,0.368322,-0.423371,0.367044,0.0547566,0.424015,0.765463,320,0.000315844,0.342367,0.394232,0.410081,0.461484,0.366524,0.345901,0.339,0.30119,0.364661,0.358158,0,0,0,0,0,0,0.373122,0.431131,0.325018,0.302651,0,0,0,0,0.414363,0.369547,0.354734,0.276447,0.393017,0,0,0,8,10,6,9
-221.828,0.998925,0.0145595,8,255,0,231.72,-1.01934,1.09986,-0.146885,-1.28341,-1.59187,-0.678122,-0.797166,-0.3757,1.30699,1.19857,0.152458,-0.442096,-0.0851058,-1.40405,-1.36635,-0.477153,-0.350224,-0.446066,0.501716,0.465173,0.159211,0.663867,0.148233,0.00390022,320,0.000315844,0.379589,0.335214,0.297063,0.287139,0.317082,0.313089,0.327343,0.387177,0.391155,0.243413,0,0,0,0,0,0,0.325485,0.315797,0.344915,0.341052,0,0,0,0,0.32937,0.32927,0.329623,0.331034,0.330943,0,0,0,8,10,6,9
-231.117,0.999847,0.0153823,8,255,0,241.145,-1.5769,-0.150663,0.79315,0.719025,-0.466263,0.943866,-2.44531,-0.305473,0.907916,1.42572,0.977267,0.796531,-2.35691,-0.874958,0.53691,-1.19632,1.03815,-1.32828,1.47421,0.557135,0.185285,1.00784,0.134448,0.000650145,320,0.000315844,0.426681,0.469226,0.46586,0.412657,0.476076,0.328626,0.419786,0.474441,0.466896,0.35958,0,0,0,0,0,0,0.432091,0.394407,0.439339,0.334296,0,0,0,0,0.422568,0.422045,0.422375,0.422562,0.422642,0,0,0,8,10,6,9
-230.405,0.997797,0.0162799,8,255,0,245.692,0.650757,0.752531,-0.469823,-1.39624,0.520063,-0.491532,1.38099,0.246583,-1.04833,-0.541595,-2.7128,-0.989153,2.52411,0.55486,-0.630218,1.13095,-1.04868,1.21304,-1.31968,-0.513348,0.0186476,0.213923,0.656904,0.00327455,320,0.000315844,0.450231,0.445065,0.441159,0.449247,0.444973,0.452892,0.448091,0.442625,0.491226,0.385823,0,0,0,0,0,0,0.362359,0.663242,0.505423,0.775084,0,0,0,0,0.447127,0.448516,0.447674,0.446713,0.447089,0,0,0,8,10,6,9
-226.377,0.999846,0.017118,8,255,0,238.723,-0.467504,-0.6217,0.837156,-0.361706,0.462431,0.260127,0.145555,2.05979,-0.308735,-0.243949,-0.00813003,1.32435,-2.47169,0.561038,-0.156135,-0.748105,0.818927,-1.29899,1.3389,1.22013,0.453436,0.249374,0.143906,0.101766,320,0.000315844,0.319341,0.475767,0.345428,0.433774,0.411454,0.398966,0.612047,0.350865,0.421927,0.435794,0,0,0,0,0,0,0.420033,0.448081,0.441158,0.437247,0,0,0,0,0.422758,0.420017,0.466341,0.409198,0.410736,0,0,0,8,10,6,9
-226.157,0.996118,0.0180847,8,255,0,239.719,0.468963,1.27309,-0.744601,-0.578014,-0.146526,0.145453,-0.45046,-2.16923,-0.709985,1.00207,-2.98578,0.85008,-0.861955,-1.82876,1.1467,1.07895,-0.945665,0.554204,0.0662193,0.429583,0.0914878,0.151362,1.0689,0.160304,320,0.000315844,0.493471,0.449713,0.453306,0.462634,0.468961,0.45606,0.419232,0.450459,0.51438,0.371066,0,0,0,0,0,0,0.407868,0.518791,0.59345,0.440218,0,0,0,0,0.481856,0.459119,0.394781,0.449264,0.514652,0,0,0,8,10,6,9
-221.369,0.999548,0.0188973,7,127,0,236.95,-0.499594,-1.50468,0.730504,0.115942,0.0232342,0.32827,0.331113,1.20881,-0.337362,0.414326,1.03189,0.738134,0.749028,0.836238,0.415364,-1.50192,1.10981,-0.0478267,-0.926411,-1.00547,0.0768977,0.0526142,0.268759,0.111778,320,0.000315844,0.380319,0.421533,0.410066,0.408344,0.414018,0.414071,0.430518,0.401669,0.408831,0.416693,0,0,0,0,0,0,0.408633,0.402636,0.422469,0.422655,0,0,0,0,0.409791,0.409867,0.433763,0.391942,0.412117,0,0,0,8,10,6,9
