# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-208.906,0.993424,0.0606773,6,63,0,210.655,-0.500349,0.899838,0.745706,-0.00440787,0.138139,1.06368,1.34282,0.145371,6,0.166667,0.408653,0.403249,0.377308,0.382189,0.41442,0.424301,6
-207.379,0.98727,0.0619071,6,63,0,213.565,-0.0934626,0.144961,0.380437,-2.13056,-0.484476,-1.23736,-0.232099,0.553742,6,0.166667,0.496702,0.529267,0.218703,0.410539,0.314613,0.44473,6
-212.197,0.979435,0.0622493,5,31,0,213.62,-0.106701,-1.14628,-0.430074,-1.78477,-1.90408,-0.34549,-1.13574,0.18686,6,0.166667,0.420458,0.45337,0.391693,0.386394,0.45729,0.420938,6
-212.657,0.998072,0.06147,6,63,0,215.205,-0.647855,2.66722,1.08231,1.29295,-0.149204,1.11724,0.617202,0.11167,6,0.166667,0.413381,0.371219,0.376725,0.339726,0.372129,0.359178,6
-206.391,0.999905,0.0633206,6,63,0,213.222,-0.599721,0.557864,-0.0721978,0.103311,-0.111758,0.0746827,0.65595,0.297487,6,0.166667,0.393228,0.349509,0.361471,0.346838,0.359507,0.400212,6
-206.621,0.999747,0.0654626,5,63,0,208.138,-0.535092,0.000945959,1.05676,0.714129,-0.246542,-0.776619,0.217689,0.275408,6,0.166667,0.369391,0.439288,0.416195,0.35366,0.321044,0.383401,6
-209.674,0.998387,0.067615,6,63,0,212.119,-0.464926,-0.0545902,-0.000782896,-2.08261,-0.109494,0.145589,0.269468,0.0511672,6,0.166667,0.385156,0.385808,0.360894,0.384491,0.387585,0.38909,6
-212.229,0.996511,0.0695894,5,31,0,213.895,-0.591025,0.571508,-1.0322,-2.18153,-0.195235,0.0663129,1.79896,0.205317,6,0.166667,0.383745,0.309394,0.261356,0.347259,0.359529,0.444809,6
-209.187,0.97028,0.0712893,5,31,0,216.015,-0.635355,-0.0382847,-0.0412113,-1.63573,0.331673,0.757296,1.05889,0.260798,6,0.166667,0.344041,0.343868,0.256937,0.36613,0.392253,0.411154,6
-207.954,0.996136,0.0689058,5,31,0,211.423,-0.592289,-0.0662059,0.479968,-0.883689,0.112043,0.770773,1.09705,0.288725,6,0.166667,0.351739,0.388479,0.299972,0.363561,0.408602,0.431547,6
-209.281,0.988872,0.0704948,5,63,0,212.111,-0.441237,0.162471,-1.00295,-0.613652,-0.262294,0.246127,1.39555,0.148429,6,0.166667,0.397206,0.356611,0.369976,0.382212,0.400183,0.441742,6
-211.606,0.989022,0.0709614,5,63,0,214.93,-0.425903,0.314639,-0.107023,1.58964,0.79867,1.79606,0.222935,0.0497815,6,0.166667,0.398855,0.393833,0.414166,0.404646,0.416662,0.397761,6
-213.007,0.914678,0.0714388,6,63,0,220.341,-0.49815,-0.666292,0.432837,-0.434395,-1.77146,-2.85198,-0.519583,0.155873,6,0.166667,0.353885,0.393963,0.362193,0.315555,0.280356,0.359131,6
-209.238,0.978326,0.0612827,6,63,0,217.995,-0.63301,1.81106,0.318151,0.267368,1.10812,0.315148,-0.0779334,0.236266,6,0.166667,0.448899,0.364047,0.361274,0.408252,0.363883,0.342669,6
-206.495,0.996452,0.0603287,6,63,0,210.958,-0.309471,-0.117538,0.361338,-1.44515,-1.23675,-0.252205,-0.330481,0.350639,6,0.166667,0.413216,0.454434,0.306572,0.322322,0.401816,0.395237,6
-208.376,0.99011,0.0617251,5,31,0,209.609,-0.250634,0.101061,0.667432,-0.952314,-1.13137,0.225263,-0.743629,0.448132,6,0.166667,0.448843,0.512113,0.336843,0.31916,0.462648,0.358041,6
-211.96,0.966223,0.0622885,5,31,0,213.83,-0.526257,0.747067,-1.23688,-1.90439,0.650044,-1.80302,0.71879,0.179876,6,0.166667,0.403265,0.321095,0.295502,0.399073,0.299312,0.402042,6
-211.037,0.9999,0.0597638,6,63,0,215.469,-0.370665,-0.57844,1.54879,0.0668983,-1.47518,-0.50093,-0.928887,0.386693,6,0.166667,0.355639,0.556814,0.414645,0.280677,0.362537,0.325226,6
-210.053,0.944242,0.0615454,5,31,0,214.934,-0.198888,0.22485,1.11222,-0.799608,-0.164545,0.0276873,-0.505471,0.0873954,6,0.166667,0.45531,0.4746,0.433209,0.446884,0.45104,0.439531,6
-208.116,0.999783,0.0564249,5,31,0,211.031,-0.653297,0.00464035,0.709987,-0.139891,-1.1472,-0.178264,-0.169054,0.353456,6,0.166667,0.342616,0.400748,0.331205,0.257543,0.328207,0.328925,6
-205.443,0.989032,0.0580776,5,39,0,209.505,-0.472608,1.03167,0.126733,-1.02606,-0.102491,-0.897093,-0.0727538,0.468715,6,0.166667,0.502738,0.398144,0.278174,0.372701,0.290473,0.375965,6
-207.501,0.956622,0.0584451,4,31,0,209.516,-0.871759,1.14526,0.982644,-0.94027,0.292778,0.259643,0.101738,0.562543,6,0.166667,0.443369,0.420924,0.197705,0.330249,0.326139,0.306927,6
-205.803,0.998833,0.055027,5,63,0,211.45,-0.812922,1.36468,1.29176,-0.880384,0.349369,0.180757,0.386005,0.594911,6,0.166667,0.499735,0.488891,0.208058,0.353183,0.330619,0.358177,6
-205.479,0.996444,0.0564903,5,31,0,206.929,-0.790485,0.981864,1.27337,-0.559348,-0.268787,0.239538,0.652438,0.478476,6,0.166667,0.420508,0.454821,0.257669,0.285143,0.337183,0.382651,6
-207.028,0.997014,0.0576899,5,63,0,209.311,-0.50552,-0.201895,0.696364,0.109217,-1.45803,-0.317716,0.121586,0.232992,6,0.166667,0.365271,0.415015,0.382235,0.300434,0.359037,0.382916,6
-208.552,0.994429,0.0589632,6,63,0,212.464,-0.349973,1.37263,0.0978239,-0.762475,0.91365,-0.999306,0.25114,0.138024,6,0.166667,0.459956,0.416667,0.388122,0.444266,0.380388,0.421819,6
-206.888,0.999085,0.0599328,4,31,0,210.026,-0.559054,0.766876,-0.0899927,-0.454659,0.545694,-0.557356,0.237446,0.206336,6,0.166667,0.401115,0.35948,0.342344,0.390203,0.337589,0.375179,6
-207.755,0.895505,0.0614706,5,31,0,212.118,-0.450393,1.45556,0.0954263,0.459416,-0.703595,0.251652,0.279688,0.134787,6,0.166667,0.436789,0.392329,0.404086,0.366972,0.397361,0.398266,6
-208.598,0.972281,0.0512984,6,63,0,211.189,-0.473257,0.746364,1.03155,0.41658,-0.0463439,-1.09701,1.03791,0.0756518,6,0.166667,0.397284,0.402462,0.391326,0.383017,0.364416,0.402578,6
-207.343,0.999419,0.0499119,6,63,0,212.432,-0.526149,1.12911,1.50674,-0.145158,-1.45371,-0.12511,0.297794,0.364437,6,0.166667,0.471366,0.50574,0.359151,0.258087,0.360835,0.397086,6
-211.293,0.97801,0.0512355,6,63,0,212.853,-0.471279,2.01166,2.03758,-1.1285,-1.06276,-0.319901,1.3963,0.217487,6,0.166667,0.491558,0.492967,0.328117,0.331277,0.367989,0.458197,6
-208.288,0.995488,0.0504156,5,31,0,218.138,-0.554012,0.455991,0.167185,-1.514,-0.655247,-0.537847,-0.580582,0.184303,6,0.166667,0.384623,0.372104,0.303001,0.337428,0.342283,0.340512,6
-210.465,0.976942,0.051331,5,63,0,213.921,-0.627573,0.795238,0.290866,0.0210143,-0.969455,-0.448323,-1.24418,0.125818,6,0.166667,0.371096,0.356411,0.348661,0.32092,0.335374,0.313434,6
-208.293,0.999755,0.0504013,5,63,0,212.642,-0.691918,1.13484,0.19472,-0.250103,2.46451e-05,-0.55424,0.061667,0.200299,6,0.166667,0.385893,0.342333,0.322564,0.333608,0.309399,0.336358,6
-209.658,0.999116,0.0517218,5,63,0,215.441,-0.227863,1.89762,0.0562582,-0.868363,0.275164,-0.879141,0.34065,0.228528,6,0.166667,0.551268,0.446454,0.395008,0.458848,0.39442,0.462566,6
-208.633,0.984299,0.0529936,5,63,0,214.242,-0.116044,0.644049,-0.359749,-1.75463,-0.969187,-1.89696,-1.09053,0.30572,6,0.166667,0.520203,0.443733,0.342433,0.39835,0.332704,0.389494,6
-207.377,0.997985,0.052761,6,63,0,211.082,0.257186,-0.545463,-0.22867,-0.647402,-1.09861,-0.446755,-0.665342,1.07637,6,0.166667,0.418257,0.502763,0.391822,0.283873,0.44431,0.38723,6
-207.46,1,0.0539144,6,63,0,210.243,-0.574927,0.991509,1.81846,-0.560978,0.44634,0.33784,0.610071,0.265771,6,0.166667,0.42277,0.477108,0.326509,0.387863,0.381039,0.398244,6
-206.162,0.995452,0.0552881,5,31,0,209.373,-0.972332,0.66355,1.22964,-0.337935,0.379072,0.678134,0.75958,0.615419,6,0.166667,0.362629,0.446311,0.234998,0.323213,0.364706,0.376396,6
-207.103,0.993295,0.0561938,6,63,0,211.02,-0.379567,-0.541741,0.490756,-0.518794,-1.29816,-1.2947,-0.350931,0.298218,6,0.166667,0.367926,0.441959,0.369519,0.317193,0.317417,0.381256,6
-209.429,0.983382,0.0568697,6,63,0,211.471,-0.374516,-1.42697,0.909022,-0.522337,-0.82844,-1.08001,0.914957,0.154917,6,0.166667,0.355356,0.441841,0.388069,0.37687,0.367763,0.442068,6
-211.578,0.997764,0.0564842,6,63,0,214.839,-0.575169,1.08516,0.759058,1.19268,1.42901,1.53159,0.787213,0.11511,6,0.166667,0.3893,0.380414,0.392247,0.39875,0.401585,0.381178,6
-209.954,0.99972,0.0576241,6,63,0,215.182,-0.429844,-0.637009,-0.272852,0.0941394,-1.4826,1.28923,-0.0823327,0.073134,6,0.166667,0.383095,0.389409,0.395809,0.368589,0.416889,0.392727,6
-210.941,0.996763,0.0589855,6,63,0,214.175,-0.45369,-0.820285,1.10961,-0.265619,1.76513,-1.67363,0.550115,0.150116,6,0.166667,0.359663,0.428709,0.379054,0.45296,0.33072,0.408273,6
-213.206,0.999074,0.0600327,6,63,0,217.665,-0.408774,-2.43522,-0.869282,1.29713,-0.113229,-1.18184,-0.14233,0.0325335,6,0.166667,0.380365,0.392443,0.409369,0.398323,0.390021,0.398096,6
-211.376,0.952943,0.0613447,6,63,0,223.88,-0.603344,1.39568,0.0531603,-2.15603,-0.870496,-0.615348,0.230203,0.922689,6,0.166667,0.664728,0.364869,0.0696104,0.19678,0.236653,0.403491,6
-206.395,1,0.0575868,5,31,0,212.658,-0.48895,0.777619,0.615493,-1.69516,-0.337102,0.034991,-0.359066,0.50233,6,0.166667,0.475438,0.455178,0.207431,0.341125,0.384291,0.338649,6
-207.508,0.906856,0.0589345,4,31,0,210.358,-0.699971,0.61083,0.454469,-2.09063,-0.0263056,-0.394684,0.30035,0.426694,6,0.166667,0.3919,0.376119,0.169098,0.329335,0.295591,0.360818,6
-207.508,7.53897e-61,0.81446,1,1,0,214.129,-0.699971,0.61083,0.454469,-2.09063,-0.0263056,-0.394684,0.30035,0.426694,6,0.166667,0.3919,0.376119,0.169098,0.329335,0.295591,0.360818,6
-207.508,0,1.32444,0,1,1,210.84,-0.699971,0.61083,0.454469,-2.09063,-0.0263056,-0.394684,0.30035,0.426694,6,0.166667,0.3919,0.376119,0.169098,0.329335,0.295591,0.360818,6
-204.238,0.999867,0.0733894,5,31,0,208.424,-0.374006,0.620895,0.477816,-0.746704,-0.480319,-0.162034,-0.0435692,0.582826,6,0.166667,0.496967,0.476138,0.30806,0.3421,0.384985,0.401457,6
-212.446,0.994403,0.03978,7,127,0,214.955,-0.273005,1.29868,0.63537,0.610953,0.448969,-0.29231,1.82153,0.0306742,6,0.166667,0.44197,0.436958,0.436774,0.435552,0.429971,0.44593,6
