# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-206.92,0.999965,0.0476019,5,31,0,210.245,-0.707971,1.67882,1.02919,0.367341,0.684444,-0.0371103,0.785393,-1.04684,-1.19165,1.2982,0.686019,1.64059,-0.0822224,-0.0849918,0.364554,0.486908,-1.60498,1.28493,0.225096,0.898864,1.42005,-0.0649836,0.42924,-1.71776
-207.862,0.990525,0.0496992,6,127,0,212.512,-0.350552,-0.408478,-0.176992,0.238332,-1.13966,-0.87029,-0.067241,-2.24938,0.720538,0.320533,1.06531,1.98171,-0.749026,1.11314,0.442085,1.27303,4.02578,-0.676388,-0.44735,0.442457,-0.921252,-0.426353,0.0661003,-1.33283
-208.927,0.999634,0.0506233,6,63,0,211.068,-0.525538,1.02475,1.06722,0.336507,-1.95554,0.510183,0.521975,-1.27343,0.176935,1.06539,0.815153,-0.379571,0.711844,0.518731,0.299941,1.20099,2.08629,0.53569,0.836724,0.828128,-2.60892,1.95599,0.688458,0.800381
-205.461,0.998674,0.0527345,6,63,0,210.358,-0.641617,1.04046,0.903083,0.232601,0.326852,-0.488966,0.510028,-0.638014,0.507924,-0.246107,-0.729039,-0.740613,2.72217,-0.727515,-0.584782,0.335366,0.208255,0.521568,0.875927,1.08431,1.42875,-1.88011,0.942631,0.423051
-208.313,0.982934,0.0547605,5,31,0,211.107,-0.718852,0.343019,1.68446,0.461738,-0.349173,0.115649,0.569953,-0.448225,-0.0110221,1.14024,-0.559211,-0.109865,1.21221,-1.49547,-0.0825984,0.500181,5.34287,-1.61822,5.78343,1.59175,-1.28327,0.790277,1.43367,7.2888
-205.565,0.942879,0.0546528,4,15,0,214.015,-0.470503,0.678885,0.588796,0.558987,-0.228215,0.0694331,0.0230642,-0.675982,2.11841,0.887098,-2.87566,-0.414514,0.586515,-0.387501,0.663879,-1.49921,4.07587,0.0906956,0.521445,1.66539,0.357875,2.26863,-0.900544,-0.314209
-206.489,0.999031,0.0494263,5,31,0,207.679,-0.550619,-0.0600872,0.438146,0.258539,-0.121279,-0.574452,0.423447,-0.228112,-0.00835243,-0.162803,-0.226375,-1.14495,0.0832634,0.10936,-0.878045,-0.447418,-0.369659,-2.88708,0.0286109,1.77298,0.422731,-3.82613,4.99725,3.91673
-208.935,0.99481,0.0513257,6,63,0,209.416,-0.394713,1.0177,0.152477,0.325899,-1.20701,-0.232866,-0.978778,-2.72528,-0.121215,0.20399,-0.0681156,-0.813827,0.23152,-0.0279731,0.239187,-0.35581,1.45775,0.87309,-0.0277613,0.447394,-1.07292,0.07692,-1.09792,-1.18691
-209.803,0.992243,0.0527188,5,63,0,214.944,-0.422513,0.65073,1.15403,-0.462966,-0.142996,-1.80989,-0.245465,-3.08331,0.74407,0.751544,-1.08934,1.02651,-1.5913,1.71446,-1.20393,-0.0400996,0.76713,0.53458,1.03636,-0.383445,-0.032696,-1.66285,-0.294014,-1.47236
-210.447,0.979884,0.0537869,6,63,0,211.922,-0.572412,0.935423,0.775412,0.221092,0.150369,-1.37299,-0.512115,-3.57432,-0.536835,0.103554,0.816174,-0.686625,-0.241885,-1.20099,0.0214753,-0.105925,-9.79333,0.842958,0.643241,0.264119,0.186708,-1.32886,-0.669477,-1.12597
