# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-207.37,0.99164,0.0358794,6,63,0,211.533,0.022191,0.588203,0.457378,0.752753,-1.42915,-1.21198,1.95007,0.131628,0.302741,-1.0462,0.45277,9,0.111111,0.571632,0.55707,0.58977,0.348671,0.37132,0.712001,0.520436,0.539732,0.389005,9
-205.616,0.99973,0.036859,7,127,0,213.734,-0.383397,0.624149,0.0305706,0.414096,-1.35381,-1.13323,-1.27321,1.49677,-0.957781,0.746758,0.417281,9,0.111111,0.469301,0.408386,0.447543,0.279224,0.298118,0.286043,0.560004,0.313661,0.48206,9
-202.428,0.998595,0.0386979,6,63,0,207.998,-0.76244,-0.065703,2.0722,0.872012,0.526761,-0.143342,0.74451,0.140966,-1.14943,-0.61951,0.492682,9,0.111111,0.311137,0.564266,0.417556,0.376856,0.302998,0.402362,0.333369,0.209367,0.255848,9
-203.221,0.994997,0.040471,6,63,0,207.68,-0.193039,0.519012,0.437113,1.14239,-0.400463,-0.650776,-0.833148,0.710695,0.0211946,-1.40222,0.987943,9,0.111111,0.579255,0.559419,0.718206,0.356939,0.302385,0.26578,0.624592,0.457081,0.171029,9
-206.675,0.996567,0.0418848,6,63,0,211.133,-0.299778,-1.23575,2.06901,-0.38225,0.152962,-1.20568,-0.297271,1.54623,-1.99939,0.296506,0.339257,9,0.111111,0.32761,0.599204,0.394256,0.438344,0.329861,0.401161,0.555963,0.273272,0.450368,9
-204.318,0.999959,0.0435033,6,63,0,211.496,-0.445526,0.372335,1.16085,2.44801,-0.842486,-0.994198,-0.369411,1.42017,-0.300268,-1.49648,0.441115,9,0.111111,0.430139,0.51663,0.653471,0.306367,0.292333,0.352406,0.54511,0.359398,0.248683,9
-204.379,0.991122,0.0455607,6,63,0,209.284,-0.433339,0.186515,1.03572,-0.318219,-0.0311054,-0.6465,1.90914,0.884373,-0.46306,-1.19889,0.922882,9,0.111111,0.435067,0.627734,0.32585,0.386501,0.263088,0.790605,0.594556,0.297196,0.176568,9
-202.839,0.995863,0.0465802,5,31,0,207.915,-0.445915,0.025668,0.380926,0.739074,-0.600732,-0.577587,1.85143,-0.0126211,-0.746255,-0.878358,0.481496,9,0.111111,0.393277,0.434749,0.477502,0.324062,0.326508,0.609578,0.388887,0.308907,0.295496,9
-201.674,0.999404,0.0481927,5,63,0,205.693,-0.368669,0.160177,0.586422,0.276167,0.0791635,-0.638551,1.42498,-0.027096,-0.307559,-0.537068,1.36483,9,0.111111,0.462556,0.606279,0.502063,0.43521,0.224405,0.828664,0.399956,0.312505,0.249426,9
-200.246,0.99147,0.0502867,6,63,0,207.475,-0.261594,0.61403,0.535618,0.0269582,-0.49177,-0.985042,-1.0487,1.14273,-0.172757,-0.828967,0.670945,9,0.111111,0.537526,0.524425,0.439423,0.356281,0.284448,0.275835,0.623661,0.406729,0.306234,9
-200.383,0.999107,0.0513722,5,63,0,203.387,-0.789581,-0.115698,1.1455,1.09848,0.290614,0.118795,-0.749033,0.792061,-0.523459,-0.990594,0.948691,9,0.111111,0.289186,0.573743,0.562802,0.374285,0.336958,0.182398,0.490461,0.2165,0.150671,9
-198.982,0.990955,0.0534874,5,63,0,206.082,-0.334693,-0.125821,1.208,0.27535,-0.0960212,-0.831379,0.012206,0.795699,-0.208794,-1.49379,0.628429,9,0.111111,0.39801,0.604547,0.459674,0.402506,0.297934,0.418965,0.541243,0.385586,0.21867,9
-202.773,0.991693,0.0545112,5,63,0,204.651,-0.799092,1.14844,1.37176,1.66937,0.0924932,0.166583,-0.179041,0.0659925,-1.60903,-0.149828,0.569938,9,0.111111,0.463925,0.495681,0.538013,0.321611,0.330893,0.288817,0.318325,0.152369,0.292249,9
-201.978,0.971658,0.0556329,6,63,0,206.113,-0.462681,-0.336666,1.15388,0.245284,-0.569702,-0.928621,-1.01653,1.09738,0.464236,-0.645623,0.453379,9,0.111111,0.350847,0.515112,0.413025,0.327179,0.292412,0.284234,0.508711,0.43728,0.319647,9
-202.874,0.999478,0.0539868,6,63,0,205.197,-0.332586,0.16735,1.23536,0.719896,-0.465238,-0.583531,0.72358,-0.395463,-2.34356,-0.768474,0.398816,9,0.111111,0.433928,0.539939,0.488632,0.37329,0.36232,0.488999,0.379822,0.219731,0.345458,9
-206.263,0.995523,0.056138,5,31,0,208.831,-0.304876,0.0131804,0.923531,0.941467,-0.40976,-1.00571,0.194628,-0.429901,-3.4392,-1.40075,0.704647,9,0.111111,0.426636,0.58562,0.588684,0.355806,0.266286,0.458165,0.35256,0.0613241,0.215529,9
-202.768,0.949259,0.0577682,6,63,0,213.015,-0.665493,1.1893,2.04829,0.984627,-0.231581,-0.611765,-0.0637263,-0.103526,-0.65106,0.90239,0.655554,9,0.111111,0.528509,0.663129,0.494996,0.306336,0.256062,0.330203,0.324458,0.251186,0.481526,9
-198.814,0.999176,0.053071,5,63,0,207.345,-0.499933,0.249325,1.02664,0.860188,-0.163478,-0.636379,-0.724232,0.909917,-0.25204,-0.89909,0.549851,9,0.111111,0.410272,0.516136,0.493261,0.356676,0.299465,0.28943,0.500096,0.345582,0.270064,9
-200.682,0.990699,0.055078,4,31,0,203.544,-0.245012,0.532003,0.739372,1.16717,-0.672966,-0.703866,-0.506402,-0.0121785,-0.49812,-0.311663,0.900501,9,0.111111,0.558249,0.603673,0.691261,0.299219,0.293417,0.331584,0.436353,0.33324,0.371529,9
-200.16,0.999976,0.0559685,5,63,0,207.266,-0.395413,0.634367,0.765382,1.19648,-0.50492,-0.592601,-0.334588,0.052343,-0.455307,-0.0777403,0.936575,9,0.111111,0.549517,0.579671,0.673746,0.295606,0.278799,0.329869,0.414258,0.305373,0.385037,9
-210.605,0.805363,0.0581251,5,47,0,214.618,-0.0594835,-0.56127,1.92701,-0.160472,0.309288,-1.41084,-0.452504,1.97527,1.09579,-0.202604,0.313022,9,0.111111,0.441476,0.632676,0.472599,0.509332,0.37728,0.449887,0.636179,0.57041,0.469313,9
-205.177,0.995902,0.038013,6,127,0,218.462,-0.320477,0.161413,0.772852,1.25315,-0.839699,-1.33406,2.17464,-0.351183,-1.96574,-0.837396,0.576703,9,0.111111,0.443396,0.531266,0.59922,0.309014,0.25165,0.717814,0.37215,0.189367,0.309297,9
-206.001,0.989564,0.0391683,6,63,0,213.588,-0.244166,0.516555,0.811625,2.04901,0.152932,-2.39202,-0.400684,0.938142,-0.39209,-0.174876,0.236388,9,0.111111,0.469523,0.486926,0.559762,0.448183,0.307974,0.416081,0.4944,0.416575,0.429105,9
-206.1,0.999055,0.0397412,5,63,0,210.185,-0.342072,0.579399,0.789466,1.99587,0.154864,-2.48829,-0.498817,1.07279,-0.331655,-0.409251,0.219294,9,0.111111,0.446453,0.457864,0.523884,0.423576,0.291577,0.389014,0.473322,0.397761,0.393692,9
-201.853,0.997874,0.0412072,6,63,0,209.549,-0.455108,-0.204946,1.28662,-0.213008,-0.665217,-0.2691,0.342025,0.769391,-0.974063,-1.25045,0.703024,9,0.111111,0.354529,0.6105,0.353233,0.284394,0.344277,0.446541,0.521435,0.242339,0.208464,9
-202.021,0.96339,0.0425833,6,63,0,209.123,-0.0655908,-0.172637,0.979962,0.677117,-0.116744,-0.706145,0.411876,0.867902,-0.465386,-1.5254,1.07864,9,0.111111,0.437379,0.729372,0.660332,0.452267,0.304223,0.593554,0.704863,0.361797,0.15304,9
