# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-202.042,0.999316,0.02526,6,127,0,208.795,-0.549614,-0.162684,1.18142,1.46319,0.11256,-1.22409,-0.899247,0.923046,-0.207759,-1.13744,-0.857888,-0.37362,-0.156597,-2.22195,0.654999,-1.57957,-1.073,-0.00993878,-1.37761,-0.699095,-1.30066,0.501439,-10.2686,-1.11575,-0.927839,1.11997,0.794917,-2.75076,-1.14789,0.365106,0.572796,-0.982939,-2.09875
-203.622,0.999841,0.0266033,6,127,0,206.714,-0.574094,0.981846,1.31071,1.13862,0.56259,-1.4583,-1.21704,1.22235,-0.65411,-0.259556,-0.8292,0.623418,-1.41247,-0.216762,0.931256,0.324441,-0.550604,0.0108133,-0.18385,0.784903,-1.34764,0.104923,-9.24527,1.23997,-0.662035,0.155705,2.20627,-4.33611,-1.54703,0.75046,-0.146109,0.181894,0.484338
-202.765,0.999812,0.0280524,6,63,0,206.898,-0.681817,0.090232,1.46512,1.81298,-0.16326,-0.341432,-1.73965,0.560172,-0.781338,0.274993,-0.608958,-0.453577,1.13924,-0.299511,-0.0982947,1.28237,-1.5674,-0.155976,0.905888,0.0549934,-0.377387,-1.25378,-6.5976,-1.17587,-0.372843,2.59849,-1.00635,0.209785,-2.3812,-0.389207,-0.521046,0.998372,-1.30981
-202.725,0.998636,0.0295646,7,127,0,208.982,-0.320656,0.702282,0.897195,0.75863,-0.483127,-1.24063,2.08678,1.32891,-0.342739,-1.14372,-0.68908,0.705253,1.49843,0.591473,-0.799075,2.21703,1.15868,-1.23126,0.149097,-0.978252,0.138429,-0.106105,1.2948,1.55547,-0.72766,0.30018,-0.0483941,-1.63103,2.77493,1.17135,0.816731,-0.836983,-0.951654
-205.586,0.985664,0.0310373,6,63,0,207.59,-0.52893,0.231994,0.606274,0.783563,0.00411,-1.24374,1.9325,0.954495,-0.503331,-0.850834,-1.41816,0.695023,-0.891844,-0.158474,0.0899661,0.702698,0.0695448,-0.922316,-0.864135,-0.316481,0.701798,0.0839883,-10.1293,-0.107238,-1.37481,-0.372914,0.316962,-0.779667,2.03513,0.569167,-0.06762,-0.628787,-4.09739
-204.763,0.999671,0.031399,6,63,0,209.848,-0.355372,1.77268,0.332982,0.267107,-0.348244,-1.07579,1.2703,1.01807,-1.26385,-0.68664,-0.610423,1.42432,0.868875,0.646823,-0.141655,-0.559813,0.398483,-1.56461,-0.210118,-0.642355,0.371121,1.85272,-2.61951,4.58806,-3.03289,-1.65712,0.244425,-1.4497,1.7669,0.688859,-0.910133,-0.181478,2.59676
-206.116,0.985681,0.0330274,6,127,0,211.463,-0.360423,-0.618131,2.04507,0.0687912,-0.790358,-1.35889,-0.952629,-0.810608,0.659759,-0.329059,-0.632065,-0.987372,-2.07147,0.13438,1.84715,-0.0104617,-0.279058,-1.33705,-0.34799,-0.0263225,0.0939749,-0.0415871,-8.64796,-2.02306,3.26092,-2.3922,-1.67311,-3.43422,-1.22918,-2.1419,2.76757,0.374373,8.73674
-206.183,0.992418,0.0333986,6,63,0,211.444,-0.0565972,-0.0198507,-0.00580728,1.52063,-1.54265,-1.10498,-0.66546,0.075512,-0.249465,-0.56414,-1.14042,-0.459064,0.912064,-1.6823,0.874403,0.439331,-0.0639357,0.754793,1.4078,-1.74251,-0.315887,-0.0130301,17.1054,0.333956,-1.62654,2.3597,-1.21407,3.0123,-0.6126,-0.264924,0.876953,0.065434,-5.15549
-210.219,0.999579,0.0343979,6,63,0,215.993,-0.579391,-1.07211,2.15562,1.07547,1.23839,-2.14609,0.808547,-0.367144,-1.83759,-0.141199,-1.5075,1.2666,0.0985668,1.6147,-1.3371,0.816785,1.03517,0.975352,0.195406,-0.783442,0.185654,-1.47052,-13.7346,-1.81159,0.938972,0.0135722,2.13837,-2.87519,0.809914,-0.871049,-1.65978,0.117288,-1.24828
-209.383,0.999493,0.0361053,6,63,0,215.34,-0.201607,-1.38736,2.26838,1.0059,0.394979,-1.89903,0.909844,0.163488,-2.81315,-0.330783,-1.3109,1.3454,0.702367,-0.755405,-0.302411,-1.69577,1.07939,-0.432366,0.705938,0.390686,-0.18579,2.00847,9.96142,-1.92689,2.11781,0.784299,2.21846,-0.601298,1.05934,-0.19085,-2.5769,0.16802,-3.04207
-207.377,0.998719,0.0378574,6,63,0,214.586,-0.616748,1.45904,0.641596,0.508325,-0.377263,0.130912,1.52794,0.994194,1.02336,-0.500127,-0.653293,1.64618,0.477643,0.616227,-0.583382,1.32919,-0.272315,-2.69859,0.450736,1.08471,-0.10416,-0.495795,0.593048,2.70197,-3.12563,-2.04096,-1.43013,4.87161,1.90375,0.370468,2.95131,-0.164911,0.398176
-203.882,0.99881,0.0395795,6,63,0,210.54,-0.721298,0.895072,1.66339,2.00453,0.701986,-0.871916,1.09201,0.0473512,-0.476053,-0.716563,-0.565047,0.527845,1.69118,-1.68984,-0.325687,0.138334,0.663131,1.33205,0.489971,2.05789,-0.0586706,0.709318,-4.20434,0.995235,0.342309,3.43484,2.88753,-4.69295,1.30472,-1.28001,-0.0284099,-0.602971,5.06837
-201.903,0.996732,0.0413566,6,63,0,207.81,-0.511935,0.617404,1.85852,0.933615,-0.193999,-0.534707,-0.688097,-0.431332,-1.21976,-0.258846,-0.199775,-0.765879,0.991131,1.07762,1.59764,1.4735,-0.34387,0.959676,-0.952292,-0.279381,-0.376998,-1.48143,2.2673,1.81336,5.61576,1.71159,-0.527721,-1.29134,-1.28438,-2.585,-1.60347,0.50995,10.3441
-205.564,1,0.0429435,6,63,0,207.896,-0.328309,0.435338,0.714744,1.94479,-0.705189,-1.44242,0.0758741,1.85397,-0.810213,1.17593,-0.718406,0.0870754,0.700633,0.319468,1.2212,-0.216782,0.0529105,-0.738531,-0.89468,-0.750189,0.413171,-0.665107,2.17893,0.813358,-1.38336,4.06896,-0.911271,-2.79748,0.143351,1.91265,-0.0431835,2.66215,5.62358
-201.628,0.999488,0.0449409,6,63,0,209.173,-0.276957,-0.358752,1.27747,1.03469,-0.740876,-0.736264,-0.374337,-0.792498,-0.57611,-1.6807,-0.711816,0.368269,-1.33063,-0.894408,2.02135,-1.09412,-1.31783,0.725264,1.12664,0.597199,-1.76686,0.301846,4.73685,-0.988826,0.726718,1.39813,-0.767163,2.57537,-0.406656,-1.91369,0.4499,-1.56062,-2.92176
-199.907,0.966788,0.0469293,6,63,0,205.269,-0.0308975,-0.151393,0.359813,0.0531786,-0.60412,-1.31427,0.321668,0.640045,-0.682752,-0.35371,-0.634487,-1.38316,0.662182,-0.0809129,-1.63033,0.340222,0.463633,0.266716,1.55758,-0.751429,1.1515,0.994645,9.17854,0.275911,-1.20138,-0.7561,1.24136,1.04759,0.679179,0.434364,0.718204,0.712252,-6.70847
-200.316,0.98419,0.0450213,6,63,0,205.541,-0.689567,0.565742,1.85982,1.38085,0.137494,-0.27855,-0.0829866,-0.0117342,-1.3197,0.0373508,-0.558528,1.96691,0.33465,-0.213405,-0.532563,-1.38609,0.878194,0.397381,-0.196516,-0.415158,0.608813,-1.64554,-3.10745,0.129893,1.34947,1.08199,0.306958,0.55723,-0.301362,-1.3497,-1.5074,0.63806,-1.94192
-196.74,0.974037,0.0451713,5,63,0,203.638,-0.416866,0.114466,1.03139,0.386795,-0.0903168,-0.479181,0.253564,0.532086,-0.921566,-0.878277,-0.132494,2.1698,-0.43092,-1.78581,-1.09172,-0.494505,0.171632,0.438287,1.13179,1.07982,-1.14351,0.54959,0.0951513,-0.290569,1.16484,-1.59345,1.38236,1.06178,0.478941,-0.257665,-0.762951,-0.785848,-2.26059
-201.654,0.969178,0.0441632,5,63,0,204.809,-0.178985,0.24418,0.662059,0.000969479,-0.907258,-1.47229,-1.81906,0.214553,-1.37744,-0.383528,-0.47025,-0.792497,0.605595,0.727848,-0.54638,1.1778,-0.203684,1.48735,0.207941,0.135672,-0.347147,0.814562,-9.63201,1.07832,-0.726427,-2.02016,-1.70119,-4.13235,-2.40783,-0.466423,-0.966924,0.598479,3.5268
