# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.9.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.9.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,marginal.9.4,index.1,index.2,index.3,index.4
-217.936,0.998852,0.0238894,7,127,0,229.734,0.251598,-0.195607,0.692099,-0.806775,-0.486533,-1.57682,-1.07426,0.0865508,-0.316142,-2.09761,-0.403517,-1.722,-1.57465,-1.91753,-0.372987,0.328731,0.801349,-0.858034,-0.927677,-1.09132,0.912364,0.423068,0.185151,0.239159,0.0236714,360,0.000315844,0.43926,0.532353,0.377178,0.409345,0.304504,0.3511,0.468701,0.4268,0.260103,0.405188,0.349308,0,0,0,0,0,0,0,0.387588,0.40542,0.345967,0.372914,0,0,0,0,0,0.378194,0.380919,0.38724,0.385043,0.375378,0,0,0,0,9,11,6,9
-208.409,0.997927,0.0251149,7,127,0,225.909,-0.854196,0.421648,2.18645,0.600921,0.139495,-0.329469,0.146359,0.332941,-0.581832,-0.191274,0.0669031,0.0127897,0.630248,1.15481,-0.0301971,-0.131472,0.110263,0.486337,0.0404969,1.22377,-0.693389,0.646822,2.18767,0.0505792,0.373441,360,0.000315844,0.379323,0.655567,0.406848,0.337579,0.273651,0.338569,0.365972,0.242541,0.2917,0.360594,0.335007,0,0,0,0,0,0,0,0.352019,0.346965,0.341863,0.34704,0,0,0,0,0,0.329885,0.368444,0.384076,0.310296,0.340875,0,0,0,0,9,11,6,9
-211.277,0.998756,0.0263356,7,127,0,220.069,-0.413863,0.245194,1.28751,1.17388,-0.368449,-0.950925,0.790216,1.60393,-1.24787,0.732515,-0.245963,-0.398677,0.202875,0.948742,-0.066263,-0.00880006,1.01157,-1.32944,-0.387494,0.253875,-0.824171,0.477282,0.619267,0.0376531,0.079854,360,0.000315844,0.391889,0.514179,0.500662,0.324863,0.2672,0.455132,0.551648,0.240434,0.44833,0.389074,0.367874,0,0,0,0,0,0,0,0.383711,0.37071,0.365845,0.380461,0,0,0,0,0,0.358991,0.390069,0.404907,0.353794,0.389023,0,0,0,0,9,11,6,9
-221.165,0.998989,0.0276812,6,127,0,231.079,-1.21258,1.04236,1.83585,0.531385,0.113018,-0.341012,0.825952,2.4803,-0.78204,0.757642,1.41126,-0.217026,2.99438,0.888163,-0.657883,-0.294566,-0.0835019,-1.96353,-0.657616,-0.738041,-1.49521,0.636879,0.396051,0.0488016,0.0428545,360,0.000315844,0.449817,0.572275,0.373084,0.314411,0.256724,0.416818,0.66631,0.20764,0.406536,0.426551,0.289398,0,0,0,0,0,0,0,0.370938,0.366584,0.361882,0.374016,0,0,0,0,0,0.360221,0.370854,0.386133,0.356237,0.370228,0,0,0,0,9,11,6,9
-216.383,0.997182,0.0291075,7,127,0,235.372,-0.841901,1.09495,1.01976,1.06876,0.955556,0.0907182,0.673068,2.8309,-1.15678,0.84412,0.0406537,-0.491581,1.19576,-0.0238069,-1.58638,0.442591,0.979076,-0.104539,-0.598697,-0.753559,-1.0826,0.508757,0.539814,0.0952517,0.0727694,360,0.000315844,0.440977,0.431639,0.437718,0.423704,0.32203,0.389302,0.65461,0.201739,0.410025,0.426165,0.360417,0,0,0,0,0,0,0,0.402536,0.400058,0.381296,0.393896,0,0,0,0,0,0.387158,0.396841,0.433353,0.366713,0.3997,0,0,0,0,9,11,6,9
-218.048,0.989865,0.0304374,7,127,0,232.468,-0.78456,0.342839,1.52062,0.82592,-0.401015,-0.708413,0.136417,1.10571,-0.18311,-1.34286,0.426375,0.3869,1.16866,-1.597,-1.02316,0.934008,-0.761632,1.3413,0.756835,3.18912,0.67055,0.595163,1.15854,0.0270348,0.0357923,360,0.000315844,0.47664,0.6473,0.548321,0.369107,0.327627,0.446131,0.589125,0.399773,0.250412,0.428116,0.417545,0,0,0,0,0,0,0,0.4258,0.418138,0.416224,0.421489,0,0,0,0,0,0.418192,0.425177,0.433227,0.422532,0.412968,0,0,0,0,9,11,6,9
-219.732,0.998393,0.0311616,7,127,0,232.301,-0.815793,0.849509,1.20101,1.10694,0.748386,0.211016,0.576711,1.30943,-0.866241,0.323497,-0.190704,-1.81191,0.657111,-1.07704,0.75712,0.484631,-2.12739,-0.5961,1.89927,2.19244,1.31203,0.848567,0.15512,0.0451023,0.0158716,360,0.000315844,0.455102,0.529225,0.509379,0.433998,0.327416,0.398748,0.551981,0.163624,0.348696,0.429717,0.371935,0,0,0,0,0,0,0,0.407633,0.403911,0.398352,0.402133,0,0,0,0,0,0.405105,0.406441,0.409121,0.401178,0.405516,0,0,0,0,9,11,6,9
-218.286,0.995938,0.0326712,7,127,0,230.813,-0.576082,0.622763,1.16227,1.38578,-0.110815,-0.208715,0.271304,0.666909,0.0352436,0.808734,-1.16736,-1.39266,-0.229522,-1.48309,-0.200032,-0.281041,-0.591109,-0.540757,1.80705,1.64611,1.19389,0.961576,0.156155,0.0375941,0.0046777,360,0.000315844,0.466257,0.594714,0.645282,0.301446,0.282004,0.383893,0.476832,0.331812,0.5109,0.417531,0.409603,0,0,0,0,0,0,0,0.417514,0.404857,0.404033,0.408078,0,0,0,0,0,0.413718,0.414224,0.414642,0.413975,0.414791,0,0,0,0,9,11,6,9
-222.344,0.984514,0.0339988,7,127,0,237.936,-1.06458,-0.0840154,1.71512,1.17074,-0.343561,-2.45729,0.246345,0.652945,-1.10366,-1.74837,1.27779,1.18632,0.365292,0.779675,0.669791,0.500832,0.614781,0.933737,-2.00574,-2.00602,-0.619669,0.27283,0.731666,0.0592756,0.00820807,360,0.000315844,0.461334,0.582994,0.546564,0.443821,0.309706,0.483759,0.511438,0.393477,0.352435,0.439028,0.423174,0,0,0,0,0,0,0,0.441477,0.420199,0.390985,0.428459,0,0,0,0,0,0.429101,0.434359,0.435151,0.431732,0.430479,0,0,0,0,9,11,6,9
-213.435,0.997674,0.0342619,6,63,0,228.794,-1.12036,-0.238947,0.483351,-0.159778,-0.383862,-0.448452,-0.5543,0.0392187,-1.4231,-1.63191,0.866548,0.898549,-0.253684,-0.0841841,-1.37538,-0.888561,0.057038,0.811083,-1.34659,-1.38751,0.637277,0.873142,0.936418,0.125106,0.0315224,360,0.000315844,0.364415,0.518562,0.380567,0.335646,0.323191,0.303318,0.422279,0.169382,0.145254,0.32703,0.333403,0,0,0,0,0,0,0,0.331827,0.325876,0.32417,0.321385,0,0,0,0,0,0.331143,0.330432,0.334425,0.32463,0.323243,0,0,0,0,9,11,6,9
