# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
405.967,0.828387,0.0125093,3,15,0,-405.164,0.78247,-0.134096,-1.70268,0.194216,0.769757,-0.988315,-110.16,-63.4734,32.75
406.103,0.876846,0.0139465,4,15,0,-405.367,0.767922,-0.102688,-1.70614,0.928416,0.021777,0.780046,-55.6545,-14.9391,30.5671
406.103,0.00262909,0.0173511,2,5,0,-404.412,0.767922,-0.102688,-1.70614,0.964175,1.55,-0.221356,-55.6545,-14.9391,30.5671
407.431,0.989833,0.00292777,5,63,0,-404.887,0.80569,-0.158205,-1.73938,-1.85785,0.471815,1.18837,-36.7922,-26.6266,12.1547
407.013,0.975596,0.00473735,5,31,0,-406.5,0.779651,-0.125989,-1.74902,-0.703713,-0.304284,-0.660556,-95.8718,-49.3744,4.65248
406.152,0.956698,0.00737753,4,19,0,-405.509,0.798834,-0.15772,-1.70295,0.207048,1.10015,-0.181062,-98.1528,-65.8815,33.1932
405.397,0.996047,0.010951,3,15,0,-404.094,0.779415,-0.10695,-1.68249,1.38604,-0.822444,0.0891517,30.0898,37.0892,44.6971
405.356,0.340736,0.0176554,2,7,0,-403.586,0.795822,-0.134458,-1.67407,-0.767087,1.71769,-0.0327329,18.3756,18.0818,50.3389
406.642,0.997732,0.00663565,5,31,0,-404.499,0.835326,-0.20177,-1.79105,-0.416242,0.00132532,2.02779,-21.5895,-38.7996,-22.5437
406.611,0.992379,0.0107046,3,7,0,-406.3,0.842185,-0.211163,-1.77994,-0.390724,0.0418538,0.683459,-11.3079,-36.4539,-15.2635
406.557,0.337061,0.016969,1,3,0,-406.024,0.832369,-0.204593,-1.77936,-0.0628391,-1.01816,-0.162849,-75.5857,-74.3688,-15.1615
407.347,0.965403,0.00643359,5,31,0,-404.947,0.815558,-0.164577,-1.73304,1.90183,-0.757362,0.78054,24.2643,9.58884,16.2669
404.891,0.965167,0.00959421,3,11,0,-403.863,0.817142,-0.164585,-1.8456,0.122464,0.237077,-1.40841,49.083,25.3104,-61.8432
404.891,0.00616297,0.0142329,3,7,0,-403.337,0.817142,-0.164585,-1.8456,-0.654759,-1.62251,-0.213961,49.083,25.3104,-61.8432
407.004,0.994117,0.00270495,5,47,0,-404.053,0.794099,-0.121903,-1.74588,-0.665144,0.32477,2.31391,87.94,70.2375,6.88766
406.123,0.989197,0.00427714,4,19,0,-405.523,0.763203,-0.101653,-1.71967,0.437261,0.946448,0.336345,-98.6701,-41.3601,21.7422
405.255,0.937737,0.00665815,4,15,0,-403.482,0.753792,-0.072786,-1.80409,1.42988,0.572257,-1.08383,-8.3941,36.3889,-35.037
405.362,0.96446,0.0092551,3,7,0,-404.922,0.748344,-0.0718079,-1.79376,0.399588,0.114914,0.84128,-65.0189,-0.352161,-28.1703
404.227,0.873976,0.013554,1,3,0,-403.924,0.750344,-0.0557683,-1.80325,-0.404293,0.48701,-0.452312,81.43,102.757,-36.5932
404.624,0.174184,0.016374,3,7,0,-404.097,0.736607,-0.056325,-1.79027,-0.136837,0.0159753,1.01786,-85.755,-6.10475,-27.5236
404.625,0.980118,0.00463797,4,15,0,-403.524,0.748852,-0.0508208,-1.7729,0.501068,-0.195315,1.38325,96.0265,111.323,-16.0747
404.51,0.988297,0.00699436,3,7,0,-404.072,0.730304,-0.0501278,-1.77057,-0.780335,-0.438004,0.273924,-108.485,-19.6865,-15.0104
405.753,0.88203,0.0106788,5,31,0,-404.096,0.854947,-0.236782,-1.74247,-0.0133739,-1.75458,-0.485136,-48.8714,-70.6726,7.63162
405.597,1,0.0130707,2,3,0,-405.422,0.859933,-0.241128,-1.73603,0.526496,-0.265667,0.0530721,-24.9755,-56.9127,11.6023
405.674,0.308972,0.0202763,1,3,0,-405.234,0.855011,-0.235669,-1.72933,-0.155662,-0.909627,-0.167865,-39.2948,-63.1665,16.0225
406.844,0.999944,0.00776802,4,15,0,-405.023,0.843168,-0.204427,-1.76518,1.12759,-0.987106,1.18206,48.3928,5.7536,-5.17847
405.313,0.428104,0.0120239,1,1,0,-405.22,0.853538,-0.199963,-1.76768,0.321364,0.248096,0.149827,196.914,103.028,-9.68899
405.84,0.999559,0.00591301,3,15,0,-403.345,0.803608,-0.174881,-1.77891,0.926402,-2.00815,0.315312,-186.863,-130.94,-16.7714
407.517,1,0.00911586,3,11,0,-406.024,0.807364,-0.159493,-1.74555,-1.38707,-0.480148,0.911688,-28.2486,-21.7244,8.33997
406.61,0.419252,0.0140049,4,15,0,-405.162,0.801768,-0.144713,-1.81275,-0.895904,-0.501576,-1.35713,14.1601,13.5141,-37.2828
405.35,0.909497,0.0068299,4,19,0,-404.99,0.826499,-0.20109,-1.69552,-0.553648,-0.212021,-0.607279,-97.8222,-83.9902,36.8674
406.286,0.997577,0.00876163,4,15,0,-404.983,0.822343,-0.175557,-1.8177,-0.145335,-1.5967,0.189693,24.1343,3.48972,-40.8176
406.4,0.176266,0.0133128,4,15,0,-403.034,0.851859,-0.218085,-1.77215,-1.92502,-0.290507,-1.71574,48.2283,-1.31499,-10.4415
407.173,0.992411,0.00409146,5,63,0,-404.694,0.802887,-0.148489,-1.79521,0.517048,-2.16613,0.0109376,-1.48079,1.22767,-24.7242
