# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1168160790
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
275.838,0.928187,0.00663095,8,255,0,-257.497,-0.0392751,-0.032423,0.142989,0.177418,0.289355,-0.0411063,0.587616,0.499687,-0.417289,0.0926735,0.200046,-0.0501718,-0.118772,-0.512091,-1.47157,-1.65128,-3.38033,-0.459008,-1.60289,1.65446,1.16742,2.91,0.0303195,0.397678,-2.82074,-0.354966,0.242305,-0.88333,1.63367,0.317321,-0.743984,-1.77454,-0.61277,-0.666554,1.98811,0.740679,1.75272,-0.409288,21.2103,-19.1543,57.1107,7.72107,18.7504,11.9444,1.23595,6.42697,-2.23899,37.7079,15.7799,-2.32585,-18.5943,8.75778,2.04195,-3.09786,-1.19442,72.1752,8.28027
276.939,0.995602,0.00571771,6,63,0,-268.44,-0.0796699,-0.0619605,0.100054,0.0980375,0.158937,-0.0380588,0.524795,0.50015,-0.247317,0.0312974,-0.0545531,-0.105609,0.131331,-0.384402,-1.5035,-1.45512,-3.41414,-0.447598,-1.60272,0.123632,-0.982599,0.342822,-1.50636,0.211535,-1.36617,-0.245386,-0.550815,0.989453,1.30973,-1.70652,1.86646,-0.306223,0.450748,-0.152378,1.20837,-0.0100716,0.689057,-0.102404,-11.8692,-58.9827,32.9408,-49.7222,-16.6614,-40.48,-0.368008,3.07994,-1.97265,-16.5515,-16.4335,-11.7171,16.9888,-2.38601,-0.757586,-2.98316,-1.43637,-97.217,4.14197
278.23,0.99091,0.00602986,8,383,0,-265.334,-0.0986655,0.0268905,0.00452025,0.0960332,0.239958,0.0257016,0.949149,0.302491,-0.0301749,0.0362743,0.129277,0.102905,-0.132645,-0.287018,-1.91785,-1.10287,-3.80576,-0.463763,-1.58312,0.75893,1.63195,-1.40537,1.34334,-1.22919,1.60858,-0.241108,1.09085,-0.539228,0.651029,2.36031,0.0448822,-1.31353,0.266371,1.18463,-1.08366,0.945781,1.13049,0.768739,-18.7947,24.8137,-28.5692,-37.7184,21.1408,-12.7157,7.75715,-3.03752,1.52477,-0.810085,5.55792,10.7446,-23.4074,0.995186,-1.28116,-0.545802,-0.704693,-34.3007,18.9504
276.123,0.993599,0.00627326,6,127,0,-264.136,-0.0927156,-0.0689104,0.000649538,0.0752577,0.122872,0.107353,0.596526,0.401459,-0.0972438,-0.0142252,0.0896076,-0.0897431,0.184821,0.088841,-1.76229,-0.951947,-3.89113,-0.458835,-1.50089,0.0146686,1.2707,0.0389974,0.348323,-1.17324,-0.750898,2.29353,0.132188,0.44625,0.465426,1.17903,0.708522,2.78801,-1.61193,-0.75093,-0.431021,0.237642,0.791129,0.952248,-21.3769,-63.2204,-1.01884,9.39077,14.5532,12.2129,1.41342,1.05029,-2.53028,-10.2931,2.15452,-9.02781,28.9504,7.44541,-0.933647,-4.63879,-1.20007,-28.1595,59.3018
283.477,0.994921,0.00657766,5,63,0,-270.352,-0.068705,0.00446457,-0.00271089,0.0549396,0.0960703,0.0446949,0.486289,0.41529,-0.205298,-0.00367161,0.14725,-0.06404,0.051814,0.0607922,-1.70135,-1.0207,-3.91578,-0.428317,-1.6696,0.656872,-0.543534,-1.29502,0.606366,0.82728,2.04914,1.41952,-0.0226292,1.25024,-0.161284,-0.378066,-0.603895,2.35674,0.425833,-0.790424,0.81998,0.26975,0.577036,2.65433,12.1432,58.251,-13.1804,-48.1545,-7.47774,13.9017,-0.161781,5.72111,-2.1381,-5.35993,11.7479,-5.9271,7.88412,-4.51515,-0.155016,-1.60935,-1.04381,11.7761,-22.4197
283.131,0.994866,0.00692122,8,511,0,-273.268,-0.172855,-0.0930972,-0.0115622,0.105681,0.145817,0.0711601,0.280563,0.164657,0.101424,0.0341412,0.153288,0.0309311,0.0857707,-0.807368,-2.04044,0.424783,-1.09259,-0.607189,-1.54423,0.826288,1.12868,-0.380597,1.12532,0.481794,-0.0448023,-1.82422,0.464547,-1.49332,0.112063,-0.206923,-0.687702,0.237981,1.60426,-0.338213,0.172579,-2.60549,-0.196322,0.469532,2.45664,-1.73903,5.65877,-7.73338,-6.34758,-31.269,18.7248,1.3283,21.1435,4.96101,9.04104,5.96561,8.64,-5.95684,-0.739074,3.87571,-1.03483,-17.0739,40.0742
280.283,0.982178,0.00727832,8,511,0,-270.634,0.0362175,0.111884,0.074675,0.213342,0.294571,-0.0170825,0.319348,0.254487,-0.288631,-0.0510083,-0.0946453,0.0868173,0.036489,-0.182363,-1.90329,-1.03832,-4.10979,-0.524491,-1.65136,0.0199826,-1.1078,0.689563,-0.59679,1.14752,-1.0258,0.78766,0.164575,0.795543,-2.06262,0.607512,-1.15445,-0.0658491,0.259074,0.387419,-1.41352,-1.80691,1.12041,0.945389,20.0956,33.799,-52.5496,16.9943,25.0022,14.7714,-2.70486,-4.52825,-4.5529,-5.62402,-8.4912,9.45834,5.42665,5.03211,-0.765079,-3.58655,-0.942715,3.15755,-15.8777
281.54,0.952272,0.00738177,8,383,0,-268.657,0.014065,0.0535582,0.151475,0.169789,0.256576,0.0132387,0.595675,0.115443,0.185594,-0.0445204,-0.0309251,0.0790098,0.0239262,-0.136547,-1.63069,-0.870542,-1.78112,-0.542791,-1.60292,0.612866,-0.781499,0.894451,-1.64391,0.680998,-1.2645,-0.203157,-1.1856,-0.13852,0.270261,1.15469,0.914592,-0.443576,1.06955,-0.631247,-0.248914,-3.48142,-1.01759,0.740095,8.60675,-10.2775,65.703,-17.1804,15.2921,21.0024,4.89271,-12.0438,9.98834,-0.455872,-3.619,20.0571,-2.15583,5.24278,-1.14397,0.865358,-0.0222347,15.3848,5.48695
281.297,0.989738,0.00688814,8,383,0,-272.561,-0.0616532,0.0341625,0.0569147,0.295406,0.313905,-0.00504263,0.425583,0.0132884,-0.138097,-0.0229195,0.0347659,-0.102818,0.00392027,-0.749478,-0.446314,-0.712171,-3.27868,-0.43483,-1.65463,0.135849,1.26445,-0.390906,1.40077,0.22741,0.11491,0.843876,-0.337434,1.26873,0.695117,-0.601538,-1.31981,-0.490604,-0.542138,1.63099,0.091135,-1.63623,-1.64279,0.270859,3.03045,5.14402,-13.7597,34.2608,5.37204,25.7703,2.54886,-22.7589,-1.09629,1.29168,0.99975,-9.16881,-0.255511,1.71391,-0.527714,-0.734232,-1.09084,16.7887,-17.7033
280.235,0.988663,0.00713733,6,63,0,-268.448,-0.148733,-0.024366,-0.0210597,0.135521,0.0183078,0.100731,0.321376,0.528094,-0.0883282,0.0370233,0.0628849,0.0835237,0.111034,-0.394571,-0.48096,-0.97874,-3.25549,-0.482918,-1.61999,-0.96841,0.523122,0.854813,-2.29785,0.128474,0.419294,-0.0266998,1.11573,0.165526,-0.51473,0.677769,-3.11084,1.08993,0.728855,-0.0311368,-0.528908,0.155518,0.938582,1.25668,-12.107,22.4434,-6.08076,32.0632,-38.5469,27.8669,-4.42282,9.02086,-0.719274,5.8011,3.95109,9.35129,17.1011,2.26565,-0.409631,-1.30382,-0.995729,1.87819,-0.809297
