# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=282705322
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-387.329,0.999019,0.00131655,8,255,0,410.384,0.0917826,0.0178341,-0.0228366,0.0371012,-0.731468,-0.0296956,1.50136,0.197363,-0.657438,0.64073,0.542981,-0.0735463,-0.00719944,-13.7866,2.31538,-25.2214,-0.50987,-0.435587,0.56186,0.675117,-0.494966,1.22742,-0.373973,-0.995364,-1.28624,1.47294,0.599438,-1.62727,5.34514,-0.590406,0.814535,-1.13221,0.865593,0.12678,-1.21864,0.397079,1.61678,-0.230508,4.68092,1.07005,-1.39303,2.48578,-18.2867,-7.09726,7.5068,2.76308,-3.94463,331.216,-97.1518,-0.482582,-3.98046,-0.999995,66.0015,-1,-0.89004,15.5895,18.4754
-361.841,0.992364,0.00141873,8,255,0,394.256,0.179311,0.076842,-0.100626,0.0952288,-0.294877,0.0436694,1.24194,0.0563472,-0.807733,0.32503,0.26242,0.0839642,0.116853,-13.7703,3.01124,-25.1543,-0.484515,-0.423842,0.489662,-0.38139,-0.0737164,0.102678,-0.283294,3.44849,-0.894529,-2.01118,-0.890909,-0.360039,-1.03929,-4.60305,0.0698603,0.00624486,0.180737,4.39813,0.449693,0.20801,-2.14362,0.661616,9.14487,4.61053,-6.13816,6.38034,-7.37192,10.437,6.20972,0.788861,-4.8464,852.858,-305.508,20.9078,20.7113,-0.999996,190.294,-1,0.853922,28.2489,-35.0262
-353.467,0.999987,0.00149961,9,511,0,368.518,-0.283368,-0.047936,0.100557,-0.0946835,-0.0100962,0.0456538,0.63451,0.0737132,-0.716041,0.355996,0.423791,-0.122696,0.121279,-13.507,2.80009,-25.3499,-0.595594,-0.513303,0.551834,-1.43979,1.28742,-0.064451,0.39282,-1.5825,-0.0479921,2.4464,0.174051,-1.16608,-2.84692,0.908699,-0.883553,-0.725446,-0.879777,-1.95768,0.320284,0.156164,-0.887795,-0.756192,-14.4518,-2.87615,6.13395,-6.34381,-0.252414,10.9113,3.17255,1.03198,-4.29625,-362.399,215.663,-13.9387,13.1329,-0.999997,-58.2715,-1,-1.06379,-10.2391,11.0015
-348.689,0.99683,0.00162093,8,255,0,361.506,-0.0654993,0.0955538,0.116454,0.0967985,-0.0536208,-0.000929466,0.59395,0.103867,-0.737675,0.367859,0.35018,0.0352841,0.00863364,-13.4624,2.77905,-25.3193,-0.517604,-0.518466,0.453095,2.30884,1.05502,-0.288743,1.50947,-0.31445,-0.722003,-0.525798,0.18054,0.0721304,1.32316,-2.9332,1.24448,-1.06214,0.440325,0.225369,0.320882,0.714646,0.299927,1.38345,-3.34047,5.73322,7.1037,6.48548,-1.34053,-0.222142,2.96975,1.45414,-4.42605,-352.327,-191.724,0.908367,-19.6323,-1,-216.731,-1,-0.679392,-25.7621,-41.1444
-331.898,0.998243,0.00173541,11,2047,0,354.308,0.0401101,-0.0814796,0.101208,0.0137778,0.155879,-0.010326,-0.218639,-0.0988997,-0.188616,0.361031,0.34107,-0.1122,0.0777765,-9.72596,2.83637,-21.4432,-0.573341,-0.458053,0.495402,-0.794337,-0.497737,-1.27342,-0.825234,0.140824,-0.102861,-1.40365,0.306699,1.86736,2.39574,-2.9906,0.884996,0.249205,-2.80808,1.06498,-2.87256,-0.749436,-0.534275,1.55275,2.04567,-4.88868,6.17369,0.922676,3.89654,-2.46792,-1.0932,-1.3846,-1.1317,7.73596,-116.54,-9.86321,4.49536,-1.00002,-54.6119,-1,-1.23756,-0.307346,-2.5966
-336.97,0.99841,0.00186457,8,511,0,345.194,0.183295,0.0332272,0.162398,-0.106492,-0.219686,-0.135506,-0.533399,-0.105024,-0.561636,0.226327,0.235757,0.0277951,0.00514308,-9.83529,3.32677,-21.8219,-0.63157,-0.561318,0.496316,-1.05371,0.604005,-2.10489,0.752379,-0.913105,-0.621798,-0.760199,0.21192,-0.885765,0.493451,-1.89681,0.981776,0.583254,-0.230476,0.483312,-1.1564,-0.105055,-0.706326,-0.261254,9.3483,1.99401,9.90657,-7.13516,-5.4924,-32.3861,-2.66699,-1.47034,-3.36982,137.733,143.261,8.95761,-1.09641,-0.999766,78.0548,-1,-0.307245,-3.21889,-1.75725
-338.354,0.999937,0.00200282,9,767,0,346.07,0.144851,0.063351,0.148879,-0.12985,0.40118,-0.136828,0.0947872,0.107838,1.01426,0.221684,0.233481,-0.0204392,-0.0686536,-8.31254,3.32341,-21.4717,-0.0317798,-0.414053,0.503039,1.04207,1.21552,-0.584464,-0.0624594,-0.0852444,0.308917,1.18241,-0.629225,0.269407,0.415807,-1.05038,-1.5216,-0.465485,2.24086,0.276534,0.836892,0.949289,0.0315626,0.214682,7.38803,3.80224,9.08227,-8.70161,10.0281,-32.702,0.473936,1.50973,6.08556,-113.356,113.106,5.9237,-21.2506,-0.999823,14.7916,-1,0.496107,13.7049,1.32337
-336.798,0.974753,0.00215871,10,2047,0,347.43,0.0365667,-0.0129493,0.0171527,-0.0891548,0.424801,-0.101397,0.0992399,0.120469,1.00812,0.217031,0.209121,-0.0873924,-0.0249343,-8.465,3.34079,-21.3926,0.00109577,-0.49101,0.545388,1.6555,1.099,1.98626,-0.823984,0.0435719,-1.57652,-0.0450585,-0.119002,0.30261,-0.393742,-0.108774,0.940462,-1.2243,2.10453,0.133643,-1.14652,-0.460589,1.24977,0.100877,1.86479,-0.776964,1.04602,-5.9752,10.6186,-24.2339,0.496199,1.68657,6.04873,-258.019,-184.195,-8.4137,-22.1698,-1.00027,-79.5423,-1,0.416457,-8.87651,21.0977
-331.232,0.989097,0.00216689,11,2047,0,343.867,0.0668573,-0.00306016,-0.0556407,0.0575643,-0.375487,-0.0251265,0.13008,-0.00982785,-0.60643,0.246397,0.265119,-0.0443864,0.102045,-9.03942,3.19891,-20.6461,0.504348,-0.557861,0.439947,0.111491,-0.115701,0.645161,-2.38031,1.0181,-1.60057,-0.224469,-0.875307,-2.26211,0.549235,-1.10156,0.743995,-0.319648,-0.460035,2.06671,1.40988,0.8576,0.452303,-0.21979,3.40986,-0.183015,-3.39387,3.85569,-9.38798,-6.00524,0.6504,-0.13759,-3.63858,-296.891,159.786,-5.64546,4.07255,-0.999646,-23.7916,-1,-0.57426,-12.0562,-32.676
-322.165,0.997958,0.00226318,10,1791,0,338.51,0.145113,-0.0699891,-0.0414186,0.0386078,-0.0517956,0.0229664,-0.179345,-0.0933102,0.218534,0.298749,0.321339,-0.082131,0.0681161,-6.02022,3.01648,-17.8438,0.531242,-0.563228,0.486403,-0.367665,-0.891446,0.34114,1.00696,-1.86375,0.61997,0.267184,-0.612934,1.7215,-0.272051,1.32523,0.175108,-0.734113,-2.71804,-1.92878,-2.57977,-0.158794,0.764229,1.60907,7.40336,-4.18811,-2.52254,2.56594,-1.30995,5.48897,-0.896723,-1.30634,1.31121,-200.584,129.245,-9.82554,0.0258325,-0.998166,-23.2364,-1,0.0722022,-12.1962,-6.18708
